PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Xie, Yannan; Wang, Sihong; Niu, Simiao; Lin, Long; Jing, Qingshen; Yang, Jin; Wu, Zhengyun; Wang, Zhong Lin								Grating-Structured Freestanding Triboelectric-Layer Nanogenerator for Harvesting Mechanical Energy at 85% Total Conversion Efficiency								ADVANCED MATERIALS				26	38			6599	6607		10.1002/adma.201402428			OCT 15 2014	2014										172							WOS:000343763200011		
J	Carrete, Jesus; Li, Wu; Mingo, Natalio; Wang, Shidong; Curtarolo, Stefano								Finding Unprecedentedly Low-Thermal-Conductivity Half-Heusler Semiconductors via High-Throughput Materials Modeling								PHYSICAL REVIEW X				4	1					011019	10.1103/PhysRevX.4.011019			FEB 19 2014	2014										172							WOS:000332159300001		
J	Sui, Jiehe; Li, Jing; He, Jiaqing; Pei, Yan-Ling; Berardan, David; Wu, Haijun; Dragoe, Nita; Cai, Wei; Zhao, Li-Dong								Texturation boosts the thermoelectric performance of BiCuSeO oxyselenides								ENERGY & ENVIRONMENTAL SCIENCE				6	10			2916	2920		10.1039/c3ee41859f			OCT 2013	2013										172							WOS:000325765100012		
J	Peng, Kui-Qing; Wang, Xin; Li, Li; Hu, Ya; Lee, Shuit-Tong								Silicon nanowires for advanced energy conversion and storage								NANO TODAY				8	1			75	97		10.1016/j.nantod.2012.12.009			FEB 2013	2013										172							WOS:000318050600009		
J	Gao, Min-Rui; Jiang, Jun; Yu, Shu-Hong								Solution-Based Synthesis and Design of Late Transition Metal Chalcogenide Materials for Oxygen Reduction Reaction (ORR)								SMALL				8	1			13	27		10.1002/smll.201101573			JAN 9 2012	2012										172							WOS:000298788800002		
J	Kortshagen, Uwe								Nonthermal plasma synthesis of semiconductor nanocrystals								JOURNAL OF PHYSICS D-APPLIED PHYSICS				42	11					113001	10.1088/0022-3727/42/11/113001			JUN 7 2009	2009										172							WOS:000266250300004		
J	Liu, Yong; Zhao, Li-Dong; Liu, Yaochun; Lan, Jinle; Xu, Wei; Li, Fu; Zhang, Bo-Ping; Berardan, David; Dragoe, Nita; Lin, Yuan-Hua; Nan, Ce-Wen; Li, Jing-Feng; Zhu, Hongmin								Remarkable Enhancement in Thermoelectric Performance of BiCuSeO by Cu Deficiencies								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				133	50			20112	20115		10.1021/ja2091195			DEC 21 2011	2011										171							WOS:000298713600023		
J	Zhang, Yi; Ke, Xuezhi; Chen, Changfeng; Yang, J.; Kent, P. R. C.								Thermodynamic properties of PbTe, PbSe, and PbS: First-principles study								PHYSICAL REVIEW B				80	2					024304	10.1103/PhysRevB.80.024304			JUL 2009	2009										171							WOS:000268617500047		
J	Mingo, N								Thermoelectric figure of merit and maximum power factor in III-V semiconductor nanowires								APPLIED PHYSICS LETTERS				84	14			2652	2654		10.1063/1.1695629			APR 5 2004	2004										171							WOS:000220586800061		
J	Fan, XF; Zeng, GH; LaBounty, C; Bowers, JE; Croke, E; Ahn, CC; Huxtable, S; Majumdar, A; Shakouri, A								SiGeC/Si superlattice microcoolers								APPLIED PHYSICS LETTERS				78	11			1580	1582		10.1063/1.1356455			MAR 12 2001	2001										171							WOS:000167364700040		
J	Angayarkanni, S. A.; Philip, John								Review on thermal properties of nanofluids: Recent developments								ADVANCES IN COLLOID AND INTERFACE SCIENCE				225				146	176		10.1016/j.cis.2015.08.014			NOV 2015	2015										170							WOS:000365365100009		
J	Li, Chennan; Goswami, Yogi; Stefanakos, Elias								Solar assisted sea water desalination: A review								RENEWABLE & SUSTAINABLE ENERGY REVIEWS				19				136	163		10.1016/j.rser.2012.04.059			MAR 2013	2013										170							WOS:000314905000010		
J	Sun, Yongfu; Cheng, Hao; Gao, Shan; Liu, Qinghua; Sun, Zhihu; Xiao, Chong; Wu, Changzheng; Wei, Shicpang; Xie, Yi								Atomically Thick Bismuth Selenide Freestanding Single Layers Achieving Enhanced Thermoelectric Energy Harvesting								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				134	50			20294	20297		10.1021/ja3102049			DEC 19 2012	2012										170							WOS:000312430700023		
J	Fan, Jing; Wang, Liqiu								Review of Heat Conduction in Nanofluids								JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME				133	4					040801	10.1115/1.4002633			APR 2011	2011										170							WOS:000286431600001		
J	Liu, Weishu; Jie, Qing; Kim, Hee Seok; Ren, Zhifeng								Current progress and future challenges in thermoelectric power generation: From materials to devices								ACTA MATERIALIA				87				357	376		10.1016/j.actamat.2014.12.042			APR 1 2015	2015										169							WOS:000350517700035		
J	Liu, Xiaogang; Coxon, Paul R.; Peters, Marius; Hoex, Bram; Cole, Jacqueline M.; Fray, Derek J.								Black silicon: fabrication methods, properties and solar energy applications								ENERGY & ENVIRONMENTAL SCIENCE				7	10			3223	3263		10.1039/c4ee01152j			OCT 2014	2014										169							WOS:000342884300005		
J	Li, Jianhui; Tan, Qing; Li, Jing-Feng; Liu, Da-Wei; Li, Fu; Li, Zong-Yue; Zou, Minmin; Wang, Ke								BiSbTe-Based Nanocomposites with High ZT : The Effect of SiC Nanodispersion on Thermoelectric Properties								ADVANCED FUNCTIONAL MATERIALS				23	35			4317	4323		10.1002/adfm.201300146			SEP 20 2013	2013										169							WOS:000327492800008		
J	Meher, Sumanta Kumar; Rao, G. Ranga								Effect of Microwave on the Nanowire Morphology, Optical, Magnetic, and Pseudocapacitance Behavior of Co3O4								JOURNAL OF PHYSICAL CHEMISTRY C				115	51			25543	25556		10.1021/jp209165v			DEC 29 2011	2011										169							WOS:000298214800043		
J	Lee, TW; Gray, SK								Subwavelength light bending by metal slit structures								OPTICS EXPRESS				13	24			9652	9659		10.1364/OPEX.13.009652			NOV 28 2005	2005										169							WOS:000233971200002		
J	Dong, JJ; Sankey, OF; Myles, CW								Theoretical study of the lattice thermal conductivity in Ge framework semiconductors								PHYSICAL REVIEW LETTERS				86	11			2361	2364		10.1103/PhysRevLett.86.2361			MAR 12 2001	2001										169							WOS:000167445200043		
J	Chen, YF; Li, DY; Lukes, JR; Majumdar, A								Monte Carlo simulation of silicon nanowire thermal conductivity								JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME				127	10			1129	1137		10.1115/1.2035114			OCT 2005	2005										168							WOS:000232936600007		
J	Yue, Ruirui; Xu, Jingkun								Poly(3,4-ethylenedioxythiophene) as promising organic thermoelectric materials: A mini-review								SYNTHETIC METALS				162	11-12			912	917		10.1016/j.synthmet.2012.04.005			JUL 2012	2012										167							WOS:000306044800006		
J	Li, Wu; Mingo, Natalio; Lindsay, L.; Broido, D. A.; Stewart, D. A.; Katcho, N. A.								Thermal conductivity of diamond nanowires from first principles								PHYSICAL REVIEW B				85	19					195436	10.1103/PhysRevB.85.195436			MAY 17 2012	2012										167							WOS:000304173400002		
J	Liu, Wei; Tan, Xiaojian; Yin, Kang; Liu, Huijun; Tang, Xinfeng; Shi, Jing; Zhang, Qingjie; Uher, Ctirad								Convergence of Conduction Bands as a Means of Enhancing Thermoelectric Performance of n-Type Mg2Si1-xSnx Solid Solutions								PHYSICAL REVIEW LETTERS				108	16					166601	10.1103/PhysRevLett.108.166601			APR 18 2012	2012										167							WOS:000302957000010		
J	Dasgupta, Neil P.; Liu, Chong; Andrews, Sean; Prinz, Fritz B.; Yang, Peidong								Atomic Layer Deposition of Platinum Catalysts on Nanowire Surfaces for Photoelectrochemical Water Reduction								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				135	35			12932	12935		10.1021/ja405680p			SEP 4 2013	2013										166							WOS:000330163100003		
J	Ong, Zhun-Yong; Pop, Eric								Effect of substrate modes on thermal transport in supported graphene								PHYSICAL REVIEW B				84	7					075471	10.1103/PhysRevB.84.075471			AUG 12 2011	2011										166							WOS:000293830600027		
J	Schelling, PK; Phillpot, SR; Keblinski, P								Kapitza conductance and phonon scattering at grain boundaries by simulation								JOURNAL OF APPLIED PHYSICS				95	11			6082	6091		10.1063/1.1702100			JUN 1 2004	2004										166							WOS:000221657300019		
J	Gaultois, Michael W.; Sparks, Taylor D.; Borg, Christopher K. H.; Seshadri, Ram; Bonificio, William D.; Clarke, David R.								Data-Driven Review of Thermoelectric Materials: Performance and Resource Considerations								CHEMISTRY OF MATERIALS				25	15			2911	2920		10.1021/cm400893e			AUG 13 2013	2013										165							WOS:000323193000001		
J	Koumoto, Kunihito; Funahashi, Ryoji; Guilmeau, Emmanuel; Miyazaki, Yuzuru; Weidenkaff, Anke; Wang, Yifeng; Wan, Chunlei								Thermoelectric Ceramics for Energy Harvesting								JOURNAL OF THE AMERICAN CERAMIC SOCIETY				96	1			1	23		10.1111/jace.12076			JAN 2013	2013										165							WOS:000313254300001		
J	Adams, Brian D.; Chen, Aicheng								The role of palladium in a hydrogen economy								MATERIALS TODAY				14	6			282	289		10.1016/S1369-7021(11)70143-2			JUN 2011	2011										165							WOS:000291426700019		
J	Kleinstreuer, Clement; Feng, Yu								Experimental and theoretical studies of nanofluid thermal conductivity enhancement: a review								NANOSCALE RESEARCH LETTERS				6						229	10.1186/1556-276X-6-229			MAR 16 2011	2011										165							WOS:000292284900003		
J	Jung, Jin-Young; Guo, Zhongyi; Jee, Sang-Won; Um, Han-Don; Park, Kwang-Tae; Lee, Jung-Ho								A strong antireflective solar cell prepared by tapering silicon nanowires								OPTICS EXPRESS				18	19			A286	A292		10.1364/OE.18.00A286			SEP 13 2010	2010										165							WOS:000281779600067		
J	Banik, Ananya; Shenoy, U. Sandhya; Anand, Shashwat; Waghmare, Umesh V.; Biswas, Kanishka								Mg Alloying in SnTe Facilitates Valence Band Convergence and Optimizes Thermoelectric Properties								CHEMISTRY OF MATERIALS				27	2			581	587		10.1021/cm504112m			JAN 27 2015	2015										164							WOS:000348618400023		
J	Chen, Yani; Zhao, Yan; Liang, Ziqi								Solution processed organic thermoelectrics: towards flexible thermoelectric modules								ENERGY & ENVIRONMENTAL SCIENCE				8	2			401	422		10.1039/c4ee3297g			2015	2015										164							WOS:000349616900002		
J	Hu, X. Jack; Padilla, Antonio A.; Xu, Jun; Fisher, Timothy S.; Goodson, Kenneth E.								3-omega measurements of vertically oriented carbon nanotubes on silicon								JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME				128	11			1109	1113		10.1115/1.2352778			NOV 2006	2006						21st Annual IEEE Semiconductor Thermal Measurement and Management Symposium	MAR 15-17, 2005	IEEE; CPMT; Natl Inst Stand & Technol	San Jose, CA	164							WOS:000242566000001		
J	Xu, Ning; Hu, Xiaozhen; Xu, Weichao; Li, Xiuqiang; Zhou, Lin; Zhu, Shining; Zhu, Jia								Mushrooms as Efficient Solar Steam-Generation Devices								ADVANCED MATERIALS				29	28					1606762	10.1002/adma.201606762			JUL 26 2017	2017										163							WOS:000406030900008		
J	Guo, Ruiqiang; Wang, Xinjiang; Kuang, Youdi; Huang, Baoling								First-principles study of anisotropic thermoelectric transport properties of IV-VI semiconductor compounds SnSe and SnS								PHYSICAL REVIEW B				92	11					115202	10.1103/PhysRevB.92.115202			SEP 1 2015	2015										163							WOS:000360331300005		
J	Roldan, Rafael; Castellanos-Gomez, Andres; Cappelluti, Emmanuele; Guinea, Francisco								Strain engineering in semiconducting two-dimensional crystals								JOURNAL OF PHYSICS-CONDENSED MATTER				27	31					313201	10.1088/0953-8984/27/31/313201			AUG 12 2015	2015										163							WOS:000358595500001		
J	Bahk, Je-Hyeong; Fang, Haiyu; Yazawa, Kazuaki; Shakouri, Ali								Flexible thermoelectric materials and device optimization for wearable energy harvesting								JOURNAL OF MATERIALS CHEMISTRY C				3	40			10362	10374		10.1039/c5tc01644d			2015	2015										163							WOS:000363251600004		
J	Li, Linsen; Yu, Yanghai; Meng, Fei; Tan, Yizheng; Hamers, Robert J.; Jin, Song								Facile Solution Synthesis of alpha-FeF3 center dot 3H(2)O Nanowires and Their Conversion to alpha-Fe2O3 Nanowires for Photoelectrochemical Application								NANO LETTERS				12	2			724	731		10.1021/nl2036854			FEB 2012	2012										163							WOS:000299967800034		
J	Yu, Miao; Long, Yun-Ze; Sun, Bin; Fan, Zhiyong								Recent advances in solar cells based on one-dimensional nanostructure arrays								NANOSCALE				4	9			2783	2796		10.1039/c2nr30437f			2012	2012										163							WOS:000302807600001		
J	Zhao, Li-Dong; He, Jiaqing; Hao, Shiqiang; Wu, Chun-I; Hogan, Timothy P.; Wolverton, C.; Dravid, Vinayak P.; Kanatzidis, Mercouri G.								Raising the Thermoelectric Performance of p-Type PbS with Endotaxial Nanostructuring and Valence-Band Offset Engineering Using CdS and ZnS								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				134	39			16327	16336		10.1021/ja306527n			OCT 3 2012	2012										162							WOS:000309335000037		
J	Yang, Nuo; Zhang, Gang; Li, Baowen								Carbon nanocone: A promising thermal rectifier								APPLIED PHYSICS LETTERS				93	24					243111	10.1063/1.3049603			DEC 15 2008	2008										162							WOS:000261896400064		
J	Domingues, G; Volz, S; Joulain, K; Greffet, JJ								Heat transfer between two nanoparticles through near field interaction								PHYSICAL REVIEW LETTERS				94	8					085901	10.1103/PhysRevLett.94.085901			MAR 4 2005	2005										162							WOS:000227386000038		
J	Zhong, Junwen; Zhong, Qize; Fan, Fengru; Zhang, Yan; Wang, Sihong; Hu, Bin; Wang, Zhong Lin; Zhou, Jun								Finger typing driven triboelectric nanogenerator and its use for instantaneously lighting up LEDs								NANO ENERGY				2	4			491	497		10.1016/j.nanoen.2012.11.015			JUL 2013	2013										161							WOS:000322937000009		
J	Lindsay, L.; Broido, D. A.; Reinecke, T. L.								Ab initio thermal transport in compound semiconductors								PHYSICAL REVIEW B				87	16					165201	10.1103/PhysRevB.87.165201			APR 2 2013	2013										161							WOS:000316948700002		
J	Wang, Heng; LaLonde, Aaron D.; Pei, Yanzhong; Snyder, G. Jeffery								The Criteria for Beneficial Disorder in Thermoelectric Solid Solutions								ADVANCED FUNCTIONAL MATERIALS				23	12			1586	1596		10.1002/adfm.201201576			MAR 25 2013	2013										161							WOS:000316321800013		
J	Kotakoski, J.; Meyer, J. C.; Kurasch, S.; Santos-Cottin, D.; Kaiser, U.; Krasheninnikov, A. V.								Stone-Wales-type transformations in carbon nanostructures driven by electron irradiation								PHYSICAL REVIEW B				83	24					245420	10.1103/PhysRevB.83.245420			JUN 23 2011	2011										160							WOS:000291984500007		
J	Lee, Seung Won; Park, Sung Dae; Kang, Sarah; Bang, In Cheol; Kim, Ji Hyun								Investigation of viscosity and thermal conductivity of SiC nanofluids for heat transfer applications								INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER				54	1-3			433	438		10.1016/j.ijheatmasstransfer.2010.09.026			JAN 15 2011	2011										160							WOS:000285116500045		
J	Gao, Xian-Feng; Sun, Wen-Tao; Hu, Zhu-Dong; Ai, Guo; Zhang, Yi-Ling; Feng, Shi; Li, Fei; Peng, Lian-Mao								An Efficient Method To Form Heterojunction CdS/TiO2 Photoelectrodes Using Highly Ordered TiO2 Nanotube Array Films								JOURNAL OF PHYSICAL CHEMISTRY C				113	47			20481	20485		10.1021/jp904320d			NOV 26 2009	2009										160							WOS:000271826100051		
J	Gunawan, Oki; Guha, Supratik								Characteristics of vapor-liquid-solid grown silicon nanowire solar cells								SOLAR ENERGY MATERIALS AND SOLAR CELLS				93	8			1388	1393		10.1016/j.solmat.2009.02.024			AUG 2009	2009										160							WOS:000267573800030		
J	Sootsman, Joseph R.; Kong, Huijun; Uher, Ctirad; D'Angelo, Jonathan James; Wu, Chim-I; Hogan, Timothy P.; Caillat, Thierry; Kanatzidis, Mercouri G.								Large Enhancements in the Thermoelectric Power Factor of Bulk PbTe at High Temperature by Synergistic Nanostructuring								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				47	45			8618	8622		10.1002/anie.200803934			2008	2008										160							WOS:000260727400014		
J	Zhang, Shengli; Guo, Shiying; Chen, Zhongfang; Wang, Yeliang; Gao, Hongjun; Gomez-Herrero, Julio; Ares, Pablo; Zamora, Felix; Zhu, Zhen; Zeng, Haibo								Recent progress in 2D group-VA semiconductors: from theory to experiment								CHEMICAL SOCIETY REVIEWS				47	3			982	1021		10.1039/c7cs00125h			FEB 7 2018	2018										159							WOS:000424136900010		
J	Jain, Anubhav; Shin, Yongwoo; Persson, Kristin A.								Computational predictions of energy materials using density functional theory								NATURE REVIEWS MATERIALS				1	1					15004	10.1038/natrevmats.2015.4			JAN 2016	2016										159							WOS:000377667000004		
J	Kim, Gun-Ho; Lee, Dongwook; Shanker, Apoorv; Shao, Lei; Kwon, Min Sang; Gidley, David; Kim, Jinsang; Pipe, Kevin P.								High thermal conductivity in amorphous polymer blends by engineered interchain interactions								NATURE MATERIALS				14	3			295	300		10.1038/NMAT4141			MAR 2015	2015										159							WOS:000350136400016		
J	Lin, Ziyin; Liu, Yan; Raghavan, Sathyanarayanan; Moon, Kyoung-sik; Sitaraman, Suresh K.; Wong, Ching-ping								Magnetic Alignment of Hexagonal Boron Nitride Platelets in Polymer Matrix: Toward High Performance Anisotropic Polymer Composites for Electronic Encapsulation								ACS APPLIED MATERIALS & INTERFACES				5	15			7633	7640		10.1021/am401939z			AUG 14 2013	2013										158							WOS:000323241100117		
J	Lu, Yuerui; Lal, Amit								High-Efficiency Ordered Silicon Nano-Conical-Frustum Array Solar Cells by Self-Powered Parallel Electron Lithography								NANO LETTERS				10	11			4651	4656		10.1021/nl102867a			NOV 2010	2010										158							WOS:000283907600060		
J	Jin, Chuanhong; Suenaga, Kazu; Iijima, Sumio								Plumbing carbon nanotubes								NATURE NANOTECHNOLOGY				3	1			17	21		10.1038/nnano.2007.406			JAN 2008	2008										158							WOS:000252117000009		
J	Fan, Feng-Jia; Wu, Liang; Yu, Shu-Hong								Energetic I-III-VI2 and I-2-II-IV-VI4 nanocrystals: synthesis, photovoltaic and thermoelectric applications								ENERGY & ENVIRONMENTAL SCIENCE				7	1			190	208		10.1039/c3ee41437j			JAN 2014	2014										157							WOS:000329550700008		
J	Walia, Sumeet; Balendhran, Sivacarendran; Nili, Hussein; Zhuiykov, Serge; Rosengarten, Gary; Wang, Qing Hua; Bhaskaran, Madhu; Sriram, Sharath; Strano, Michael S.; Kalantar-zadeh, Kourosh								Transition metal oxides - Thermoelectric properties								PROGRESS IN MATERIALS SCIENCE				58	8			1443	1489		10.1016/j.pmatsci.2013.06.003			OCT 2013	2013										157							WOS:000326484300007		
J	Xu, Kongli; Chen, Guangming; Qiu, Dong								Convenient construction of poly(3,4-ethylenedioxythiophene)-graphene pie-like structure with enhanced thermoelectric performance								JOURNAL OF MATERIALS CHEMISTRY A				1	40			12395	12399		10.1039/c3ta12691a			2013	2013										157							WOS:000325414000002		
J	Poudeu, Pierre F. P.; D'Angelo, Jonathan; Kong, Huijun; Downey, Adam; Short, Jarrod L.; Pcionek, Robert; Hogan, Timothy P.; Uher, Ctirad; Kanatzidis, Mercouri G.								Nanostructures versus solid solutions: Low lattice thermal conductivity and enhanced thermoelectric figure of merit in Pb9.6Sb0.2Te10-xSex bulk materials								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				128	44			14347	14355		10.1021/ja0647811			NOV 8 2006	2006										157							WOS:000241729100043		
J	Sander, MS; Gronsky, R; Sands, T; Stacy, AM								Structure of bismuth telluride nanowire arrays fabricated by electrodeposition into porous anodic alumina templates								CHEMISTRY OF MATERIALS				15	1			335	339		10.1021/cm0207604			JAN 14 2003	2003										157							WOS:000180368000050		
J	Tang, Changyu; Hackenberg, Ken; Fu, Qiang; Ajayan, Pulickel M.; Ardebili, Haleh								High Ion Conducting Polymer Nanocomposite Electrolytes Using Hybrid Nanofillers								NANO LETTERS				12	3			1152	1156		10.1021/nl202692y			MAR 2012	2012										156							WOS:000301406800007		
J	Nielsch, Kornelius; Bachmann, Julien; Kimling, Johannes; Boettner, Harald								Thermoelectric Nanostructures: From Physical Model Systems towards Nanograined Composites								ADVANCED ENERGY MATERIALS				1	5			713	731		10.1002/aenm.201100207			OCT 2011	2011										156							WOS:000295140100001		
J	Yu, Wei; Xie, Huaqing; Wang, Xiaoping; Wang, Xinwei								Significant thermal conductivity enhancement for nanofluids containing graphene nanosheets								PHYSICS LETTERS A				375	10			1323	1328		10.1016/j.physleta.2011.01.040			MAR 7 2011	2011										156							WOS:000288145100009		
J	Anoop, K. B.; Kabelac, S.; Sundararajan, T.; Das, Sarit K.								Rheological and flow characteristics of nanofluids: Influence of electroviscous effects and particle agglomeration								JOURNAL OF APPLIED PHYSICS				106	3					034909	10.1063/1.3182807			AUG 1 2009	2009										156							WOS:000269060700101		
J	Tan, Gangjian; Shi, Fengyuan; Hao, Shiqiang; Zhao, Li-Dong; Chi, Hang; Zhang, Xiaomi; Uher, Ctirad; Wolverton, Chris; Dravid, Vinayak P.; Kanatzidis, Mercouri G.								Non-equilibrium processing leads to record high thermoelectric figure of merit in PbTe-SrTe								NATURE COMMUNICATIONS				7						12167	10.1038/ncomms12167			JUL 2016	2016										155							WOS:000380196100001		
J	Martin-Gonzalez, Marisol; Caballero-Calero, O.; Diaz-Chao, P.								Nanoengineering thermoelectrics for 21st century: Energy harvesting and other trends in the field								RENEWABLE & SUSTAINABLE ENERGY REVIEWS				24				288	305		10.1016/j.rser.2013.03.008			AUG 2013	2013										155							WOS:000320489400025		
J	Xie, Wenjie; Weidenkaff, Anke; Tang, Xinfeng; Zhang, Qingjie; Poon, Joseph; Tritt, Terry M.								Recent Advances in Nanostructured Thermoelectric Half-Heusler Compounds								NANOMATERIALS				2	4			379	412		10.3390/nano2040379			DEC 2012	2012										155							WOS:000209072600005		
J	Ghaemi, Pouyan; Mong, Roger S. K.; Moore, J. E.								In-Plane Transport and Enhanced Thermoelectric Performance in Thin Films of the Topological Insulators Bi2Te3 and Bi2Se3								PHYSICAL REVIEW LETTERS				105	16					166603	10.1103/PhysRevLett.105.166603			OCT 11 2010	2010										155							WOS:000282753000012		
J	Schmitt, Andrew L.; Higgins, Jeremy M.; Szczech, Jeannine R.; Jin, Song								Synthesis and applications of metal silicide nanowires								JOURNAL OF MATERIALS CHEMISTRY				20	2			223	235		10.1039/b910968d			2010	2010										155							WOS:000272842900002		
J	Shenogina, Natalia; Godawat, Rahul; Keblinski, Pawel; Garde, Shekhar								How Wetting and Adhesion Affect Thermal Conductance of a Range of Hydrophobic to Hydrophilic Aqueous Interfaces								PHYSICAL REVIEW LETTERS				102	15					156101	10.1103/PhysRevLett.102.156101			APR 17 2009	2009										155							WOS:000265285700049		
J	Romo-Herrera, J. M.; Terrones, M.; Terrones, H.; Dag, S.; Meunier, V.								Covalent 2D and 3D networks from 1D nanostructures: Designing new materials								NANO LETTERS				7	3			570	576		10.1021/nl0622202			MAR 2007	2007										155							WOS:000244867400006		
J	Boukai, A; Xu, K; Heath, JR								Size-dependent transport and thermoelectric properties of individual polycrystalline bismuth nanowires								ADVANCED MATERIALS				18	7			864	+		10.1002/adma.200502194			APR 4 2006	2006										155							WOS:000236950500007		
J	Chiu, HY; Deshpande, VV; Postma, HWC; Lau, CN; Miko, C; Forro, L; Bockrath, M								Ballistic phonon thermal transport in multiwalled carbon nanotubes								PHYSICAL REVIEW LETTERS				95	22					226101	10.1103/PhysRevLett.95.226101			NOV 25 2005	2005										155							WOS:000233458500042		
J	Li, Renyuan; Zhang, Lianbin; Shi, Le; Wang, Peng								MXene Ti3C2: An Effective 2D Light-to-Heat Conversion Material								ACS NANO				11	4			3752	3759		10.1021/acsnano.6b08415			APR 2017	2017										154							WOS:000400233200033		
J	Yang, Jihui; Yip, Hin-Lap; Jen, Alex K. -Y.								Rational Design of Advanced Thermoelectric Materials								ADVANCED ENERGY MATERIALS				3	5			549	565		10.1002/aenm.201200514			MAY 2013	2013										154							WOS:000318761500002		
J	Shiu, Shu-Chia; Chao, Jiun-Jie; Hung, Shih-Che; Yeh, Chin-Liang; Lin, Ching-Fuh								Morphology Dependence of Silicon Nanowire/Poly(3,4-ethylenedioxythiophene):Poly(styrenesulfonate) Heterojunction Solar Cells								CHEMISTRY OF MATERIALS				22	10			3108	3113		10.1021/cm100086x			MAY 25 2010	2010										154							WOS:000277635000013		
J	Vadasz, P								Heat conduction in nanofluid suspensions								JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME				128	5			465	477		10.1115/1.2175149			MAY 2006	2006										154							WOS:000237540900006		
J	Sun, X; Zhang, Z; Dresselhaus, MS								Theoretical modeling of thermoelectricity in Bi nanowires								APPLIED PHYSICS LETTERS				74	26			4005	4007		10.1063/1.123242			JUN 28 1999	1999										154							WOS:000080994200029		
J	Shi, X.; Chen, L.; Uher, C.								Recent advances in high-performance bulk thermoelectric materials								INTERNATIONAL MATERIALS REVIEWS				61	6			379	415		10.1080/09506608.2016.1183075			2016	2016										153							WOS:000379211700001		
J	Mehrali, Mohammad; Sadeghinezhad, Emad; Latibari, Sara Tahan; Kazi, Salim Newaz; Mehrali, Mehdi; Zubir, Mohd Nashrul Bin Mohd; Metselaar, Hendrik Simon Cornelis								Investigation of thermal conductivity and rheological properties of nanofluids containing graphene nanoplatelets								NANOSCALE RESEARCH LETTERS				9						15	10.1186/1556-276X-9-15			JAN 13 2014	2014										153							WOS:000330628400001		
J	Ostrikov, Kostya (Ken); Cvelbar, Uros; Murphy, Anthony B.								Plasma nanoscience: setting directions, tackling grand challenges								JOURNAL OF PHYSICS D-APPLIED PHYSICS				44	17					174001	10.1088/0022-3727/44/17/174001			MAY 4 2011	2011										153							WOS:000289512700001		
J	Belof, Jonathan L.; Stern, Abraham C.; Eddaoudi, Mohamed; Space, Brian								On the mechanism of hydrogen storage in a metal-organic framework material								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				129	49			15202	15210		10.1021/ja0737164			DEC 12 2007	2007										153							WOS:000251477400034		
J	Zhang, Yuefei; Han, Xiaodong; Zheng, Kun; Zhang, Ze; Zhang, Xiaona; Fu, Jingyong; Ji, Yuan; Hao, Yajuan; Guo, Xiangyun; Wang, Zhonglin								Direct observation of super-plasticity of beta-SiC nanowires at low temperature								ADVANCED FUNCTIONAL MATERIALS				17	17			3435	3440		10.1002/adfm.200700162			NOV 23 2007	2007										153							WOS:000251537300003		
J	Huang, Jian Yu; Ding, Feng; Yakobson, Boris I.; Lu, Ping; Qi, Liang; Li, Ju								In situ observation of graphene sublimation and multi-layer edge reconstructions								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				106	25			10103	10108		10.1073/pnas.0905193106			JUN 23 2009	2009										152							WOS:000267292200008		
J	Nasilowski, Michel; Mahler, Benoit; Lhuillier, Emmanuel; Ithurria, Sandrine; Dubertret, Benoit								Two-Dimensional Colloidal Nanocrystals								CHEMICAL REVIEWS				116	18			10934	10982		10.1021/acs.chemrev.6b00164			SEP 28 2016	2016										151							WOS:000384518600011		
J	Tan, Gangjian; Shi, Fengyuan; Hao, Shiqiang; Chi, Hang; Zhao, Li-Dong; Uher, Ctirad; Wolverton, Chris; Dravid, Vinayak P.; Kanatzidis, Mercouri G.								Codoping in SnTe: Enhancement of Thermoelectric Performance through Synergy of Resonance Levels and Band Convergence								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				137	15			5100	5112		10.1021/jacs.5b00837			APR 22 2015	2015										151							WOS:000353606700042		
