J	Ishida, K; Mukuda, H; Kitaoka, Y; Asayama, K; Mao, ZQ; Mori, Y; Maeno, Y								Spin-triplet superconductivity in Sr2RuO4 identified by O-17 Knight shift								NATURE				396	6712			658	660		10.1038/25315			DEC 17 1998	1998										721							WOS:000077694200048		
J	Balatsky, A. V.; Vekhter, I.; Zhu, Jian-Xin								Impurity-induced states in conventional and unconventional superconductors								REVIEWS OF MODERN PHYSICS				78	2			373	433		10.1103/RevModPhys.78.373			APR-JUN 2006	2006										707							WOS:000238699500002		
J	Buzea, C; Yamashita, T								Review of the superconducting properties of MgB2								SUPERCONDUCTOR SCIENCE & TECHNOLOGY				14	11			R115	R146		10.1088/0953-2048/14/11/201			NOV 2001	2001										703							WOS:000172638300001		
J	Sales, BC; Mandrus, D; Chakoumakos, BC; Keppens, V; Thompson, JR								Filled skutterudite antimonides: Electron crystals and phonon glasses								PHYSICAL REVIEW B				56	23			15081	15089		10.1103/PhysRevB.56.15081			DEC 15 1997	1997										694							WOS:000071043700038		
J	Choi, HJ; Roundy, D; Sun, H; Cohen, ML; Louie, SG								The origin of the anomalous superconducting properties of MgB2								NATURE				418	6899			758	760		10.1038/nature00898			AUG 15 2002	2002										693							WOS:000177428000033		
J	Fabian, Jaroslav; Matos-Abiague, Alex; Ertler, Christian; Stano, Peter; Zutic, Igor								Semiconductor spintronics								ACTA PHYSICA SLOVACA				57	4-5			565	907		10.2478/v10155-010-0086-8			AUG-OCT 2007	2007										688							WOS:000249789600001		
J	Hirschfeld, P. J.; Korshunov, M. M.; Mazin, I. I.								Gap symmetry and structure of Fe-based superconductors								REPORTS ON PROGRESS IN PHYSICS				74	12					124508	10.1088/0034-4885/74/12/124508			DEC 2011	2011										687							WOS:000298079500009		
J	Huang, Q.; Qiu, Y.; Bao, Wei; Green, M. A.; Lynn, J. W.; Gasparovic, Y. C.; Wu, T.; Wu, G.; Chen, X. H.								Neutron-Diffraction Measurements of Magnetic Order and a Structural Transition in the Parent BaFe2As2 Compound of FeAs-Based High-Temperature Superconductors								PHYSICAL REVIEW LETTERS				101	25					257003	10.1103/PhysRevLett.101.257003			DEC 19 2008	2008										657							WOS:000261891200064		
J	Ataca, C.; Sahin, H.; Ciraci, S.								Stable, Single-Layer MX2 Transition-Metal Oxides and Dichalcogenides in a Honeycomb-Like Structure								JOURNAL OF PHYSICAL CHEMISTRY C				116	16			8983	8999		10.1021/jp212558p			APR 26 2012	2012										656							WOS:000303173900017		
J	Chen, G; Dresselhaus, MS; Dresselhaus, G; Fleurial, JP; Caillat, T								Recent developments in thermoelectric materials								INTERNATIONAL MATERIALS REVIEWS				48	1			45	66		10.1179/095066003225010182			FEB 2003	2003										649							WOS:000181787400002		
J	Schwarz, K; Blaha, P								Solid state calculations using WIEN2k								COMPUTATIONAL MATERIALS SCIENCE				28	2			259	273		10.1016/S0927-0256(03)00112-5			OCT 2003	2003						Symposium on Software Development for Process and Materials Disign	SEP 15-16, 2002		MOSCOW, RUSSIA	646							WOS:000186360000015		
J	Pan, SH; Hudson, EW; Lang, KM; Eisaki, H; Uchida, S; Davis, JC								Imaging the effects of individual zinc impurity atoms on superconductivity in Bi2Sr2CaCu2O8+delta								NATURE				403	6771			746	750					FEB 17 2000	2000										639							WOS:000085423100045		
J	Sanvito, Stefano								Molecular spintronics								CHEMICAL SOCIETY REVIEWS				40	6			3336	3355		10.1039/c1cs15047b			2011	2011										631							WOS:000290866700016		
J	Ghiringhelli, G.; Le Tacon, M.; Minola, M.; Blanco-Canosa, S.; Mazzoli, C.; Brookes, N. B.; De Luca, G. M.; Frano, A.; Hawthorn, D. G.; He, F.; Loew, T.; Sala, M. Moretti; Peets, D. C.; Salluzzo, M.; Schierle, E.; Sutarto, R.; Sawatzky, G. A.; Weschke, E.; Keimer, B.; Braicovich, L.								Long-Range Incommensurate Charge Fluctuations in (Y,Nd)Ba2Cu3O6+x								SCIENCE				337	6096			821	825		10.1126/science.1223532			AUG 17 2012	2012										626							WOS:000307535600037		
J	Nolas, GS; Morelli, DT; Tritt, TM								Skutterudites: A phonon-glass-electron crystal approach to advanced thermoelectric energy conversion applications								ANNUAL REVIEW OF MATERIALS SCIENCE				29				89	116		10.1146/annurev.matsci.29.1.89			1999	1999										616							WOS:000082534400004		
J	Zhao, Jun; Huang, Q.; de la Cruz, Clarina; Li, Shiliang; Lynn, J. W.; Chen, Y.; Green, M. A.; Chen, G. F.; Li, G.; Li, Z.; Luo, J. L.; Wang, N. L.; Dai, Pengcheng								Structural and magnetic phase diagram of CeFeAsO1-xFx and its relation to high-temperature superconductivity								NATURE MATERIALS				7	12			953	959		10.1038/nmat2315			DEC 2008	2008										609							WOS:000261127100016		
J	Giazotto, F; Heikkila, TT; Luukanen, A; Savin, AM; Pekola, JP								Opportunities for mesoscopics in thermometry and refrigeration: Physics and applications								REVIEWS OF MODERN PHYSICS				78	1			217	274		10.1103/RevModPhys.78.217			JAN-MAR 2006	2006										609							WOS:000236516300007		
J	Gutlich, P; Goodwin, HA								Spin crossover - An overall perspective								Topics in Current Chemistry-Series				233				1	47		10.1007/b13527			2004	2004										595							WOS:000223047100001		
J	Drozdov, A. P.; Eremets, M. I.; Troyan, I. A.; Ksenofontov, V.; Shylin, S. I.								Conventional superconductivity at 203 kelvin at high pressures in the sulfur hydride system								NATURE				525	7567			73	+		10.1038/nature14964			SEP 3 2015	2015										594							WOS:000360594100027		
J	Felser, Claudia; Fecher, Gerhard H.; Balke, Benjamin								Spintronics: A challenge for materials science and solid-state chemistry								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				46	5			668	699		10.1002/anie.200601815			2007	2007										594							WOS:000243855500004		
J	Subedi, Alaska; Zhang, Lijun; Singh, D. J.; Du, M. H.								Density functional study of FeS, FeSe, and FeTe: Electronic structure, magnetism, phonons, and superconductivity								PHYSICAL REVIEW B				78	13					134514	10.1103/PhysRevB.78.134514			OCT 2008	2008										577							WOS:000260574200100		
J	Dediu, V. Alek; Hueso, Luis E.; Bergenti, Ilaria; Taliani, Carlo								Spin routes in organic semiconductors								NATURE MATERIALS				8	9			707	716		10.1038/NMAT2510			SEP 2009	2009										573							WOS:000269215500014		
J	Ishida, Kenji; Nakai, Yusuke; Hosono, Hideo								To What Extent Iron-Pnictide New Superconductors Have Been Clarified: A Progress Report								JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN				78	6					062001	10.1143/JPSJ.78.062001			JUN 2009	2009										571							WOS:000267395800001		
J	Graser, S.; Maier, T. A.; Hirschfeld, P. J.; Scalapino, D. J.								Near-degeneracy of several pairing channels in multiorbital models for the Fe pnictides								NEW JOURNAL OF PHYSICS				11						025016	10.1088/1367-2630/11/2/025016			FEB 27 2009	2009										549							WOS:000263744200015		
J	Andersen, OK; Liechtenstein, AI; Jepsen, O; Paulsen, F								LDA energy bands, low-energy Hamiltonians, t', t'', t perpendicular to(k), and J perpendicular to.								JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS				56	12			1573	1591		10.1016/0022-3697(95)00269-3			DEC 1995	1995						Conference on Spectroscopies in Novel Superconductors	MAR 15-18, 1995	Stanford Univ, Stanford Synchrotron Radiat Lab; Argonne Natl Lab; Los Alamos Natl Lab	STANFORD UNIV, STANFORD SYNCHROTRON RADIAT LAB, STANFORD, CA	549							WOS:A1995TL54700003		
J	Scalapino, D. J.								A common thread: The pairing interaction for unconventional superconductors								REVIEWS OF MODERN PHYSICS				84	4			1383	1417		10.1103/RevModPhys.84.1383			OCT 8 2012	2012										546							WOS:000309590600001		
J	Katsnelson, M. I.; Irkhin, V. Yu.; Chioncel, L.; Lichtenstein, A. I.; de Groot, R. A.								Half-metallic ferromagnets: From band structure to many-body effects								REVIEWS OF MODERN PHYSICS				80	2			315	378		10.1103/RevModPhys.80.315			APR-JUN 2008	2008										540							WOS:000256528500001		
J	Chubukov, A. V.; Efremov, D. V.; Eremin, I.								Magnetism, superconductivity, and pairing symmetry in iron-based superconductors								PHYSICAL REVIEW B				78	13					134512	10.1103/PhysRevB.78.134512			OCT 2008	2008										539							WOS:000260574200098		
J	Snyder, GJ; Christensen, M; Nishibori, E; Caillat, T; Iversen, BB								Disordered zinc in Zn4Sb3 with phonon-glass and electron-crystal thermoelectric properties								NATURE MATERIALS				3	7			458	463		10.1038/nmat1154			JUL 2004	2004										538							WOS:000222389100014		
J	Si, Qimiao; Abrahams, Elihu								Strong correlations and magnetic frustration in the high T(c) iron pnictides								PHYSICAL REVIEW LETTERS				101	7					076401	10.1103/PhysRevLett.101.076401			AUG 15 2008	2008										537							WOS:000258473800049		
J	Bowen, M; Bibes, M; Barthelemy, A; Contour, JP; Anane, A; Lemaitre, Y; Fert, A								Nearly total spin polarization in La2/3Sr1/3MnO3 from tunneling experiments								APPLIED PHYSICS LETTERS				82	2			233	235		10.1063/1.1534619			JAN 13 2003	2003										537							WOS:000180317400027		
J	Bernhard, C; Tallon, JL; Niedermayer, C; Blasius, T; Golnik, A; Brucher, E; Kremer, RK; Noakes, DR; Stronach, CE; Ansaldo, EJ								Coexistence of ferromagnetism and superconductivity in the hybrid ruthenate-cuprate compound RuSr2GdCu2O8 studied by muon spin rotation and dc magnetization								PHYSICAL REVIEW B				59	21			14099	14107		10.1103/PhysRevB.59.14099			JUN 1 1999	1999										518							WOS:000080778700094		
J	Fernandes, R. M.; Chubukov, A. V.; Schmalian, J.								What drives nematic order in iron-based superconductors?								NATURE PHYSICS				10	2			97	104		10.1038/nphys2877			FEB 2014	2014										516							WOS:000332141800012		
J	Bao, Wei; Qiu, Y.; Huang, Q.; Green, M. A.; Zajdel, P.; Fitzsimmons, M. R.; Zhernenkov, M.; Chang, S.; Fang, Minghu; Qian, B.; Vehstedt, E. K.; Yang, Jinhu; Pham, H. M.; Spinu, L.; Mao, Z. Q.								Tunable (delta pi, delta pi)-Type Antiferromagnetic Order in alpha-Fe(Te,Se) Superconductors								PHYSICAL REVIEW LETTERS				102	24					247001	10.1103/PhysRevLett.102.247001			JUN 19 2009	2009										516							WOS:000267197900055		
J	Kuroki, Kazuhiko; Usui, Hidetomo; Onari, Seiichiro; Arita, Ryotaro; Aoki, Hideo								Pnictogen height as a possible switch between high-T-c nodeless and low-T-c nodal pairings in the iron-based superconductors								PHYSICAL REVIEW B				79	22					224511	10.1103/PhysRevB.79.224511			JUN 2009	2009										513							WOS:000267699300099		
J	Singh, DJ								Electronic structure of NaCo2O4								PHYSICAL REVIEW B				61	20			13397	13402		10.1103/PhysRevB.61.13397			MAY 15 2000	2000										499							WOS:000087284900020		
J	Chu, Jiun-Haw; Analytis, James G.; De Greve, Kristiaan; McMahon, Peter L.; Islam, Zahirul; Yamamoto, Yoshihisa; Fisher, Ian R.								In-Plane Resistivity Anisotropy in an Underdoped Iron Arsenide Superconductor								SCIENCE				329	5993			824	826		10.1126/science.1190482			AUG 13 2010	2010										497							WOS:000280809900046		
J	VARMA, CM; ZAANEN, J; RAGHAVACHARI, K								SUPERCONDUCTIVITY IN THE FULLERENES								SCIENCE				254	5034			989	992		10.1126/science.254.5034.989			NOV 15 1991	1991										487							WOS:A1991GP88300039		
J	Witczak-Krempa, William; Chen, Gang; Kim, Yong Baek; Balents, Leon								Correlated Quantum Phenomena in the Strong Spin-Orbit Regime								Annual Review of Condensed Matter Physics				5				57	82		10.1146/annurev-conmatphys-020911-125138			2014	2014										485							WOS:000337270800004		
J	Dubi, Yonatan; Di Ventra, Massimiliano								Colloquium: Heat flow and thermoelectricity in atomic and molecular junctions								REVIEWS OF MODERN PHYSICS				83	1			131	155		10.1103/RevModPhys.83.131			MAR 29 2011	2011										481							WOS:000288902100001		
J	Gurevich, A								Enhancement of the upper critical field by nonmagnetic impurities in dirty two-gap superconductors								PHYSICAL REVIEW B				67	18					184515	10.1103/PhysRevB.67.184515			MAY 1 2003	2003										476							WOS:000183378800080		
J	Basov, DN; Timusk, T								Electrodynamics of high-T-c superconductors								REVIEWS OF MODERN PHYSICS				77	2			721	779		10.1103/RevModPhys.77.721			APR 2005	2005										472							WOS:000231523800007		
J	Christianson, A. D.; Goremychkin, E. A.; Osborn, R.; Rosenkranz, S.; Lumsden, M. D.; Malliakas, C. D.; Todorov, I. S.; Claus, H.; Chung, D. Y.; Kanatzidis, M. G.; Bewley, R. I.; Guidi, T.								Unconventional superconductivity in Ba0.6K0.4Fe2As2 from inelastic neutron scattering								NATURE				456	7224			930	932		10.1038/nature07625			DEC 18 2008	2008										470							WOS:000261768300040		
J	Fang, M. H.; Pham, H. M.; Qian, B.; Liu, T. J.; Vehstedt, E. K.; Liu, Y.; Spinu, L.; Mao, Z. Q.								Superconductivity close to magnetic instability in Fe(Se1-xTex)(0.82)								PHYSICAL REVIEW B				78	22					224503	10.1103/PhysRevB.78.224503			DEC 2008	2008										466							WOS:000262245200071		
J	Tsymbal, EY; Mryasov, ON; LeClair, PR								Spin-dependent tunnelling in magnetic tunnel junctions								JOURNAL OF PHYSICS-CONDENSED MATTER				15	4			R109	R142	PII S0953-8984(03)54596-9	10.1088/0953-8984/15/4/201			FEB 5 2003	2003										454							WOS:000181101000005		
J	Pavarini, E; Dasgupta, I; Saha-Dasgupta, T; Jepsen, O; Andersen, OK								Band-structure trend in hole-doped cuprates and correlation with T-c (max)								PHYSICAL REVIEW LETTERS				87	4					047003	10.1103/PhysRevLett.87.047003			JUL 23 2001	2001										450							WOS:000170060700036		
J	Galanakis, I; Dederichs, PH; Papanikolaou, N								Origin and properties of the gap in the half-ferromagnetic Heusler alloys								PHYSICAL REVIEW B				66	13					134428	10.1103/PhysRevB.66.134428			OCT 1 2002	2002										447							WOS:000179067900093		
J	Kontani, Hiroshi; Onari, Seiichiro								Orbital-Fluctuation-Mediated Superconductivity in Iron Pnictides: Analysis of the Five-Orbital Hubbard-Holstein Model								PHYSICAL REVIEW LETTERS				104	15					157001	10.1103/PhysRevLett.104.157001			APR 16 2010	2010										443							WOS:000277001700039		
J	Bouquet, F; Fisher, RA; Phillips, NE; Hinks, DG; Jorgensen, JD								Specific heat of (MgB2)-B-11: Evidence for a second energy cap								PHYSICAL REVIEW LETTERS				87	4					047001	10.1103/PhysRevLett.87.047001			JUL 23 2001	2001										434							WOS:000170060700034		
J	Merlin, R								Generating coherent THz phonons with light pulses								SOLID STATE COMMUNICATIONS				102	2-3			207	220		10.1016/S0038-1098(96)00721-1			APR 1997	1997										425							WOS:A1997WQ08400015		
J	Chu, Jiun-Haw; Analytis, James G.; Kucharczyk, Chris; Fisher, Ian R.								Determination of the phase diagram of the electron-doped superconductor Ba(Fe1-xCox)(2)As-2								PHYSICAL REVIEW B				79	1					014506	10.1103/PhysRevB.79.014506			JAN 2009	2009										423							WOS:000262977900094		
J	Yin, Z. P.; Haule, K.; Kotliar, G.								Kinetic frustration and the nature of the magnetic and paramagnetic states in iron pnictides and iron chalcogenides								NATURE MATERIALS				10	12			932	935		10.1038/NMAT3120			DEC 2011	2011										417							WOS:000297692900017		
J	Ziese, M								Extrinsic magnetotransport phenomena in ferromagnetic oxides								REPORTS ON PROGRESS IN PHYSICS				65	2			143	249	PII S0034-4885(02)88966-7	10.1088/0034-4885/65/2/202			FEB 2002	2002										414							WOS:000174236700002		
J	Carenco, Sophie; Portehault, David; Boissiere, Cedric; Mezailles, Nicolas; Sanchez, Clement								Nanoscaled Metal Borides and Phosphides: Recent Developments and Perspectives								CHEMICAL REVIEWS				113	10			7981	8065		10.1021/cr400020d			OCT 2013	2013										413							WOS:000326354800014		
J	Li, Shiliang; de la Cruz, Clarina; Huang, Q.; Chen, Y.; Lynn, J. W.; Hu, Jiangping; Huang, Yi-Lin; Hsu, Fong-Chi; Yeh, Kuo-Wei; Wu, Maw-Kuen; Dai, Pengcheng								First-order magnetic and structural phase transitions in Fe1+ySexTe1-x								PHYSICAL REVIEW B				79	5					054503	10.1103/PhysRevB.79.054503			FEB 2009	2009										412							WOS:000263815400077		
J	Pickard, Chris J.; Needs, R. J.								Ab initio random structure searching								JOURNAL OF PHYSICS-CONDENSED MATTER				23	5					053201	10.1088/0953-8984/23/5/053201			FEB 9 2011	2011										400							WOS:000286380800004		
J	Peintinger, Michael F.; Oliveira, Daniel Vilela; Bredow, Thomas								Consistent gaussian basis sets of Triple-Zeta valence with polarization quality for solid-State Calculations								JOURNAL OF COMPUTATIONAL CHEMISTRY				34	6			451	459		10.1002/jcc.23153			MAR 5 2013	2013										397							WOS:000314846300003		
J	Wang, Fa; Zhai, Hui; Ran, Ying; Vishwanath, Ashvin; Lee, Dung-Hai								Functional Renormalization-Group Study of the Pairing Symmetry and Pairing Mechanism of the FeAs-Based High-Temperature Superconductor								PHYSICAL REVIEW LETTERS				102	4					047005	10.1103/PhysRevLett.102.047005			JAN 30 2009	2009										393							WOS:000262978600063		
J	Mackenzie, AP; Haselwimmer, RKW; Tyler, AW; Lonzarich, GG; Mori, Y; Nishizaki, S; Maeno, Y								Extremely strong dependence of superconductivity on disorder in Sr2RuO4								PHYSICAL REVIEW LETTERS				80	1			161	164		10.1103/PhysRevLett.80.161			JAN 5 1998	1998										392							WOS:000071370400041		
J	Kong, Y; Dolgov, OV; Jepsen, O; Andersen, OK								Electron-phonon interaction in the normal and superconducting states of MgB2								PHYSICAL REVIEW B				64	2					020501	10.1103/PhysRevB.64.020501			JUL 1 2001	2001										387							WOS:000169835700013		
J	Basov, D. N.; Averitt, Richard D.; van der Marel, Dirk; Dressel, Martin; Haule, Kristjan								Electrodynamics of correlated electron materials								REVIEWS OF MODERN PHYSICS				83	2			471	541		10.1103/RevModPhys.83.471			JUN 2 2011	2011										385							WOS:000291199300001		
J	Wang, Lei; Maxisch, Thomas; Ceder, Gerbrand								Oxidation energies of transition metal oxides within the GGA+U framework								PHYSICAL REVIEW B				73	19					195107	10.1103/PhysRevB.73.195107			MAY 2006	2006										378							WOS:000237950400040		
J	Parkin, S; Jiang, X; Kaiser, C; Panchula, A; Roche, K; Samant, M								Magnetically engineered spintronic sensors and memory								PROCEEDINGS OF THE IEEE				91	5			661	680		10.1109/JPROC.2003.811807			MAY 2003	2003										378							WOS:000183038000003		
J	Kasahara, S.; Shibauchi, T.; Hashimoto, K.; Ikada, K.; Tonegawa, S.; Okazaki, R.; Shishido, H.; Ikeda, H.; Takeya, H.; Hirata, K.; Terashima, T.; Matsuda, Y.								Evolution from non-Fermi- to Fermi-liquid transport via isovalent doping in BaFe2(As(1-x)Px)(2) superconductors								PHYSICAL REVIEW B				81	18					184519	10.1103/PhysRevB.81.184519			MAY 1 2010	2010										372							WOS:000278141800098		
J	Singh, D. J.								Electronic structure and doping in BaFe(2)As(2) and LiFeAs: Density functional calculations								PHYSICAL REVIEW B				78	9					094511	10.1103/PhysRevB.78.094511			SEP 2008	2008										366							WOS:000259689700087		
J	Pickard, Chris J.; Needs, Richard J.								Structure of phase III of solid hydrogen								NATURE PHYSICS				3	7			473	476		10.1038/nphys625			JUL 2007	2007										364							WOS:000248219100016		
J	Chuang, T. -M.; Allan, M. P.; Lee, Jinho; Xie, Yang; Ni, Ni; Bud'ko, S. L.; Boebinger, G. S.; Canfield, P. C.; Davis, J. C.								Nematic Electronic Structure in the "Parent" State of the Iron-Based Superconductor Ca(Fe1-xCox)(2)As-2								SCIENCE				327	5962			181	184		10.1126/science.1181083			JAN 8 2010	2010										360							WOS:000273394000028		
J	Hanaguri, T.; Niitaka, S.; Kuroki, K.; Takagi, H.								Unconventional s-Wave Superconductivity in Fe(Se,Te)								SCIENCE				328	5977			474	476		10.1126/science.1187399			APR 23 2010	2010										358							WOS:000276952400035		
J	GOFRON, K; CAMPUZANO, JC; ABRIKOSOV, AA; LINDROOS, M; BANSIL, A; DING, H; KOELLING, D; DABROWSKI, B								OBSERVATION OF AN EXTENDED VAN-HOVE SINGULARITY IN YBA2CU4O8 BY ULTRAHIGH-ENERGY RESOLUTION ANGLE-RESOLVED PHOTOEMISSION								PHYSICAL REVIEW LETTERS				73	24			3302	3305		10.1103/PhysRevLett.73.3302			DEC 12 1994	1994										357							WOS:A1994PW97800031		
J	Zhang, Y.; Yang, L. X.; Xu, M.; Ye, Z. R.; Chen, F.; He, C.; Xu, H. C.; Jiang, J.; Xie, B. P.; Ying, J. J.; Wang, X. F.; Chen, X. H.; Hu, J. P.; Matsunami, M.; Kimura, S.; Feng, D. L.								Nodeless superconducting gap in A(x)Fe(2)Se(2) (A = K, Cs) revealed by angle-resolved photoemission spectroscopy								NATURE MATERIALS				10	4			273	277		10.1038/NMAT2981			APR 2011	2011										356							WOS:000288744700015		
J	Rowell, JM								The widely variable resistivity of MgB2 samples								SUPERCONDUCTOR SCIENCE & TECHNOLOGY				16	6			R17	R27	PII S0953-2048(03)55895-X	10.1088/0953-2048/16/6/201			JUN 2003	2003										355							WOS:000183842800002		
J	Badro, J; Fiquet, G; Guyot, F; Rueff, JP; Struzhkin, VV; Vanko, G; Monaco, G								Iron partitioning in Earth's mantle: Toward a deep lower mantle discontinuity								SCIENCE				300	5620			789	791		10.1126/science.1081311			MAY 2 2003	2003										355							WOS:000182579800048		
J	Pfleiderer, Christian								Superconducting phases of f-electron compounds								REVIEWS OF MODERN PHYSICS				81	4			1551	1624		10.1103/RevModPhys.81.1551			OCT-DEC 2009	2009										351							WOS:000273229500005		
J	HANKE, W; SHAM, LJ								MANY-PARTICLE EFFECTS IN THE OPTICAL-SPECTRUM OF A SEMICONDUCTOR								PHYSICAL REVIEW B				21	10			4656	4673		10.1103/PhysRevB.21.4656			1980	1980										348							WOS:A1980JW35700048		
