PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Hasan, M. Z.; Kane, C. L.								Colloquium: Topological insulators								REVIEWS OF MODERN PHYSICS				82	4			3045	3067		10.1103/RevModPhys.82.3045			NOV 8 2010	2010										8565							WOS:000283929800001		
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								Topological insulators and superconductors								REVIEWS OF MODERN PHYSICS				83	4						10.1103/RevModPhys.83.1057			OCT 14 2011	2011										6050							WOS:000308825700001		
J	Zhang, Haijun; Liu, Chao-Xing; Qi, Xiao-Liang; Dai, Xi; Fang, Zhong; Zhang, Shou-Cheng								Topological insulators in Bi2Se3, Bi2Te3 and Sb2Te3 with a single Dirac cone on the surface								NATURE PHYSICS				5	6			438	442		10.1038/NPHYS1270			JUN 2009	2009										3327							WOS:000266544800024		
J	Butler, Sheneve Z.; Hollen, Shawna M.; Cao, Linyou; Cui, Yi; Gupta, Jay A.; Gutierrez, Humberto R.; Heinz, Tony F.; Hong, Seung Sae; Huang, Jiaxing; Ismach, Ariel F.; Johnston-Halperin, Ezekiel; Kuno, Masaru; Plashnitsa, Vladimir V.; Robinson, Richard D.; Ruoff, Rodney S.; Salahuddin, Sayeef; Shan, Jie; Shi, Li; Spencer, Michael G.; Terrones, Mauricio; Windl, Wolfgang; Goldberger, Joshua E.								Progress, Challenges, and Opportunities in Two-Dimensional Materials Beyond Graphene								ACS NANO				7	4			2898	2926		10.1021/nn400280c			APR 2013	2013										2282							WOS:000318143300005		
J	Chen, Y. L.; Analytis, J. G.; Chu, J. -H.; Liu, Z. K.; Mo, S. -K.; Qi, X. L.; Zhang, H. J.; Lu, D. H.; Dai, X.; Fang, Z.; Zhang, S. C.; Fisher, I. R.; Hussain, Z.; Shen, Z. -X.								Experimental Realization of a Three-Dimensional Topological Insulator, Bi2Te3								SCIENCE				325	5937			178	181		10.1126/science.1173034			JUL 10 2009	2009										2089							WOS:000267802000040		
J	Das Sarma, S.; Adam, Shaffique; Hwang, E. H.; Rossi, Enrico								Electronic transport in two-dimensional graphene								REVIEWS OF MODERN PHYSICS				83	2			407	470		10.1103/RevModPhys.83.407			MAY 16 2011	2011										1891							WOS:000290730200001		
J	Moore, Joel E.								The birth of topological insulators								NATURE				464	7286			194	198		10.1038/nature08916			MAR 11 2010	2010										1588							WOS:000275366100032		
J	Schnyder, Andreas P.; Ryu, Shinsei; Furusaki, Akira; Ludwig, Andreas W. W.								Classification of topological insulators and superconductors in three spatial dimensions								PHYSICAL REVIEW B				78	19					195125	10.1103/PhysRevB.78.195125			NOV 2008	2008										1583							WOS:000262607800049		
J	Alicea, Jason								New directions in the pursuit of Majorana fermions in solid state systems								REPORTS ON PROGRESS IN PHYSICS				75	7					076501	10.1088/0034-4885/75/7/076501			JUL 2012	2012										1296							WOS:000305907700002		
J	Johnston, David C.								The puzzle of high temperature superconductivity in layered iron pnictides and chalcogenides								ADVANCES IN PHYSICS				59	6			803	1061	PII 927730316	10.1080/00018732.2010.513480			2010	2010										1233							WOS:000282683200001		
J	Marzari, Nicola; Mostofi, Arash A.; Yates, Jonathan R.; Souza, Ivo; Vanderbilt, David								Maximally localized Wannier functions: Theory and applications								REVIEWS OF MODERN PHYSICS				84	4						10.1103/RevModPhys.84.1419			OCT 10 2012	2012										782							WOS:000309659400001		
J	Lindner, Netanel H.; Refael, Gil; Galitski, Victor								Floquet topological insulator in semiconductor quantum wells								NATURE PHYSICS				7	6			490	495		10.1038/NPHYS1926			JUN 2011	2011										716							WOS:000291146500018		
J	Ando, Yoichi								Topological Insulator Materials								JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN				82	10					102001	10.7566/JPSJ.82.102001			OCT 2013	2013										715							WOS:000325108000001		
J	Wang, Zhijun; Weng, Hongming; Wu, Quansheng; Dai, Xi; Fang, Zhong								Three-dimensional Dirac semimetal and quantum transport in Cd3As2								PHYSICAL REVIEW B				88	12					125427	10.1103/PhysRevB.88.125427			SEP 23 2013	2013										715							WOS:000324690500009		
J	Medvedev, S.; McQueen, T. M.; Troyan, I. A.; Palasyuk, T.; Eremets, M. I.; Cava, R. J.; Naghavi, S.; Casper, F.; Ksenofontov, V.; Wortmann, G.; Felser, C.								Electronic and magnetic phase diagram of beta-Fe1.01Se with superconductivity at 36.7 K under pressure								NATURE MATERIALS				8	8			630	633		10.1038/NMAT2491			AUG 2009	2009										700							WOS:000268288000013		
J	Neupane, Madhab; Xu, Su-Yang; Sankar, Raman; Alidoust, Nasser; Bian, Guang; Liu, Chang; Belopolski, Ilya; Chang, Tay-Rong; Jeng, Horng-Tay; Lin, Hsin; Bansil, Arun; Chou, Fangcheng; Hasan, M. Zahid								Observation of a three-dimensional topological Dirac semimetal phase in high-mobility Cd3As2								NATURE COMMUNICATIONS				5						3786	10.1038/ncomms4786			MAY 2014	2014										678							WOS:000337371600001		
J	Ugeda, Miguel M.; Bradley, Aaron J.; Shi, Su-Fei; da Jornada, Felipe H.; Zhang, Yi; Qiu, Diana Y.; Ruan, Wei; Mo, Sung-Kwan; Hussain, Zahid; Shen, Zhi-Xun; Wang, Feng; Louie, Steven G.; Crommie, Michael F.								Giant bandgap renormalization and excitonic effects in a monolayer transition metal dichalcogenide semiconductor								NATURE MATERIALS				13	12			1091	1095		10.1038/NMAT4061			DEC 2014	2014										677							WOS:000345432200009		
J	Burkov, A. A.; Hook, M. D.; Balents, Leon								Topological nodal semimetals								PHYSICAL REVIEW B				84	23					235126	10.1103/PhysRevB.84.235126			DEC 20 2011	2011										676							WOS:000298557900002		
J	Chen, Y. L.; Chu, J. -H.; Analytis, J. G.; Liu, Z. K.; Igarashi, K.; Kuo, H. -H.; Qi, X. L.; Mo, S. K.; Moore, R. G.; Lu, D. H.; Hashimoto, M.; Sasagawa, T.; Zhang, S. C.; Fisher, I. R.; Hussain, Z.; Shen, Z. X.								Massive Dirac Fermion on the Surface of a Magnetically Doped Topological Insulator								SCIENCE				329	5992			659	662		10.1126/science.1189924			AUG 6 2010	2010										670							WOS:000280602700032		
J	Yu, X. Z.; Kanazawa, N.; Onose, Y.; Kimoto, K.; Zhang, W. Z.; Ishiwata, S.; Matsui, Y.; Tokura, Y.								Near room-temperature formation of a skyrmion crystal in thin-films of the helimagnet FeGe								NATURE MATERIALS				10	2			106	109		10.1038/nmat2916			FEB 2011	2011										659							WOS:000286512200015		
J	Zhu, Feng-feng; Chen, Wei-jiong; Xu, Yong; Gao, Chun-lei; Guan, Dan-dan; Liu, Can-hua; Qian, Dong; Zhang, Shou-Cheng; Jia, Jin-feng								Epitaxial growth of two-dimensional stanene								NATURE MATERIALS				14	10			1020	+		10.1038/NMAT4384			OCT 2015	2015										645							WOS:000361771800022		
J	Khanikaev, Alexander B.; Mousavi, S. Hossein; Tse, Wang-Kong; Kargarian, Mehdi; MacDonald, Allan H.; Shvets, Gennady								Photonic topological insulators								NATURE MATERIALS				12	3			233	239		10.1038/NMAT3520			MAR 2013	2013										638							WOS:000315707200022		
J	Pesin, Dmytro; Balents, Leon								Mott physics and band topology in materials with strong spin-orbit interaction								NATURE PHYSICS				6	5			376	381		10.1038/NPHYS1606			MAY 2010	2010										627							WOS:000278335500019		
J	Xu, Yong; Yan, Binghai; Zhang, Hai-Jun; Wang, Jing; Xu, Gang; Tang, Peizhe; Duan, Wenhui; Zhang, Shou-Cheng								Large-Gap Quantum Spin Hall Insulators in Tin Films								PHYSICAL REVIEW LETTERS				111	13					136804	10.1103/PhysRevLett.111.136804			SEP 24 2013	2013										625							WOS:000324762300018		
J	Hsieh, Timothy H.; Lin, Hsin; Liu, Junwei; Duan, Wenhui; Bansil, Arun; Fu, Liang								Topological crystalline insulators in the SnTe material class								NATURE COMMUNICATIONS				3						982	10.1038/ncomms1969			JUL 2012	2012										611							WOS:000306995000054		
J	Zhao, Jun; Huang, Q.; de la Cruz, Clarina; Li, Shiliang; Lynn, J. W.; Chen, Y.; Green, M. A.; Chen, G. F.; Li, G.; Li, Z.; Luo, J. L.; Wang, N. L.; Dai, Pengcheng								Structural and magnetic phase diagram of CeFeAsO1-xFx and its relation to high-temperature superconductivity								NATURE MATERIALS				7	12			953	959		10.1038/nmat2315			DEC 2008	2008										609							WOS:000261127100016		
J	Cheuk, Lawrence W.; Sommer, Ariel T.; Hadzibabic, Zoran; Yefsah, Tarik; Bakr, Waseem S.; Zwierlein, Martin W.								Spin-Injection Spectroscopy of a Spin-Orbit Coupled Fermi Gas								PHYSICAL REVIEW LETTERS				109	9					095302	10.1103/PhysRevLett.109.095302			AUG 27 2012	2012										603							WOS:000308015500010		
J	Zubko, Pavlo; Gariglio, Stefano; Gabay, Marc; Ghosez, Philippe; Triscone, Jean-Marc								Interface Physics in Complex Oxide Heterostructures								Annual Review of Condensed Matter Physics				2				141	165		10.1146/annurev-conmatphys-062910-140445			2011	2011										588							WOS:000288917400008		
J	Liang, Tian; Gibson, Quinn; Ali, Mazhar N.; Liu, Minhao; Cava, R. J.; Ong, N. P.								Ultrahigh mobility and giant magnetoresistance in the Dirac semimetal Cd3As2								NATURE MATERIALS				14	3			280	284					MAR 2015	2015										579							WOS:000350136400013		
J	Qi, Xiao-Liang; Li, Rundong; Zang, Jiadong; Zhang, Shou-Cheng								Inducing a Magnetic Monopole with Topological Surface States								SCIENCE				323	5918			1184	1187		10.1126/science.1167747			FEB 27 2009	2009										572							WOS:000263687600030		
J	Pesin, Dmytro; MacDonald, Allan H.								Spintronics and pseudospintronics in graphene and topological insulators								NATURE MATERIALS				11	5			409	416		10.1038/NMAT3305			MAY 2012	2012										534							WOS:000303108500017		
J	Peng, Hailin; Lai, Keji; Kong, Desheng; Meister, Stefan; Chen, Yulin; Qi, Xiao-Liang; Zhang, Shou-Cheng; Shen, Zhi-Xun; Cui, Yi								Aharonov-Bohm interference in topological insulator nanoribbons								NATURE MATERIALS				9	3			225	229		10.1038/NMAT2609			MAR 2010	2010										529							WOS:000274700900017		
J	Law, K. T.; Lee, Patrick A.; Ng, T. K.								Majorana Fermion Induced Resonant Andreev Reflection								PHYSICAL REVIEW LETTERS				103	23					237001	10.1103/PhysRevLett.103.237001			DEC 4 2009	2009										503							WOS:000272460200035		
J	Chadov, Stanislav; Qi, Xiaoliang; Kuebler, Juergen; Fecher, Gerhard H.; Felser, Claudia; Zhang, Shou Cheng								Tunable multifunctional topological insulators in ternary Heusler compounds								NATURE MATERIALS				9	7			541	545		10.1038/NMAT2770			JUL 2010	2010										498							WOS:000279014300013		
J	Zhang, Tong; Cheng, Peng; Chen, Xi; Jia, Jin-Feng; Ma, Xucun; He, Ke; Wang, Lili; Zhang, Haijun; Dai, Xi; Fang, Zhong; Xie, Xincheng; Xue, Qi-Kun								Experimental Demonstration of Topological Surface States Protected by Time-Reversal Symmetry								PHYSICAL REVIEW LETTERS				103	26					266803	10.1103/PhysRevLett.103.266803			DEC 31 2009	2009										496							WOS:000273232200035		
J	Vozmediano, M. A. H.; Katsnelson, M. I.; Guinea, F.								Gauge fields in graphene								PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS				496	4-5			109	148		10.1016/j.physrep.2010.07.003			NOV 2010	2010										491							WOS:000284720400001		
J	Kitagawa, Takuya; Berg, Erez; Rudner, Mark; Demler, Eugene								Topological characterization of periodically driven quantum systems								PHYSICAL REVIEW B				82	23					235114	10.1103/PhysRevB.82.235114			DEC 10 2010	2010										482							WOS:000286768600004		
J	Mellnik, A. R.; Lee, J. S.; Richardella, A.; Grab, J. L.; Mintun, P. J.; Fischer, M. H.; Vaezi, A.; Manchon, A.; Kim, E. -A.; Samarth, N.; Ralph, D. C.								Spin-transfer torque generated by a topological insulator								NATURE				511	7510			449	+		10.1038/nature13534			JUL 24 2014	2014										471							WOS:000339335700042		
J	Chiu, Ching-Kai; Teo, Jeffrey C. Y.; Schnyder, Andreas P.; Ryu, Shinsei								Classification of topological quantum matter with symmetries								REVIEWS OF MODERN PHYSICS				88	3					035005	10.1103/RevModPhys.88.035005			AUG 31 2016	2016										470							WOS:000383053400001		
J	Yang, Kai-Yu; Lu, Yuan-Ming; Ran, Ying								Quantum Hall effects in a Weyl semimetal: Possible application in pyrochlore iridates								PHYSICAL REVIEW B				84	7					075129	10.1103/PhysRevB.84.075129			AUG 9 2011	2011										458							WOS:000293702800004		
J	Manchon, A.; Koo, H. C.; Nitta, J.; Frolov, S. M.; Duine, R. A.								New perspectives for Rashba spin-orbit coupling								NATURE MATERIALS				14	9			871	882		10.1038/NMAT4360			SEP 2015	2015										454							WOS:000360192000018		
J	Liu, Chao-Xing; Qi, Xiao-Liang; Zhang, HaiJun; Dai, Xi; Fang, Zhong; Zhang, Shou-Cheng								Model Hamiltonian for topological insulators								PHYSICAL REVIEW B				82	4					045122	10.1103/PhysRevB.82.045122			JUL 26 2010	2010										439							WOS:000280293300004		
J	Hoffmann, Axel								Spin Hall Effects in Metals								IEEE TRANSACTIONS ON MAGNETICS				49	10			5172	5193		10.1109/TMAG.2013.2262947			OCT 2013	2013										438							WOS:000324930200001		
J	Armitage, N. P.; Mele, E. J.; Vishwanath, Ashvin								Weyl and Dirac semimetals in three-dimensional solids								REVIEWS OF MODERN PHYSICS				90	1					015001	10.1103/RevModPhys.90.015001			JAN 22 2018	2018										437							WOS:000423135000001		
J	Essin, Andrew M.; Moore, Joel E.; Vanderbilt, David								Magnetoelectric Polarizability and Axion Electrodynamics in Crystalline Insulators								PHYSICAL REVIEW LETTERS				102	14					146805	10.1103/PhysRevLett.102.146805			APR 10 2009	2009										436							WOS:000265082500055		
J	Kitagawa, Takuya; Oka, Takashi; Brataas, Arne; Fu, Liang; Demler, Eugene								Transport properties of nonequilibrium systems under the application of light: Photoinduced quantum Hall insulators without Landau levels								PHYSICAL REVIEW B				84	23					235108	10.1103/PhysRevB.84.235108			DEC 1 2011	2011										432							WOS:000297551600009		
J	Manzeli, Sajedeh; Ovchinnikov, Dmitry; Pasquier, Diego; Yazyev, Oleg V.; Kis, Andras								2D transition metal dichalcogenides								NATURE REVIEWS MATERIALS				2	8					UNSP 17033	10.1038/natrevmats.2017.33			AUG 2017	2017										429							WOS:000407547600008		
J	Santander-Syro, A. F.; Copie, O.; Kondo, T.; Fortuna, F.; Pailhes, S.; Weht, R.; Qiu, X. G.; Bertran, F.; Nicolaou, A.; Taleb-Ibrahimi, A.; Le Fevre, P.; Herranz, G.; Bibes, M.; Reyren, N.; Apertet, Y.; Lecoeur, P.; Barthelemy, A.; Rozenberg, M. J.								Two-dimensional electron gas with universal subbands at the surface of SrTiO3								NATURE				469	7329			189	193		10.1038/nature09720			JAN 13 2011	2011										427							WOS:000286143400033		
J	Fu, Liang								Hexagonal Warping Effects in the Surface States of the Topological Insulator Bi2Te3								PHYSICAL REVIEW LETTERS				103	26					266801	10.1103/PhysRevLett.103.266801			DEC 31 2009	2009										424							WOS:000273232200033		
J	Ren, Zhi; Taskin, A. A.; Sasaki, Satoshi; Segawa, Kouji; Ando, Yoichi								Large bulk resistivity and surface quantum oscillations in the topological insulator Bi2Te2Se								PHYSICAL REVIEW B				82	24					241306	10.1103/PhysRevB.82.241306			DEC 9 2010	2010										421							WOS:000286895700001		
J	Dietl, Tomasz; Ohno, Hideo								Dilute ferromagnetic semiconductors: Physics and spintronic structures								REVIEWS OF MODERN PHYSICS				86	1						10.1103/RevModPhys.86.187			MAR 24 2014	2014										420							WOS:000334225000001		
J	Chen, J.; Qin, H. J.; Yang, F.; Liu, J.; Guan, T.; Qu, F. M.; Zhang, G. H.; Shi, J. R.; Xie, X. C.; Yang, C. L.; Wu, K. H.; Li, Y. Q.; Lu, L.								Gate-Voltage Control of Chemical Potential and Weak Antilocalization in Bi2Se3								PHYSICAL REVIEW LETTERS				105	17					176602	10.1103/PhysRevLett.105.176602			OCT 19 2010	2010										419							WOS:000283126900015		
J	Margadonna, S.; Takabayashi, Y.; Ohishi, Y.; Mizuguchi, Y.; Takano, Y.; Kagayama, T.; Nakagawa, T.; Takata, M.; Prassides, K.								Pressure evolution of the low-temperature crystal structure and bonding of the superconductor FeSe (T-c=37 K)								PHYSICAL REVIEW B				80	6					064506	10.1103/PhysRevB.80.064506			AUG 2009	2009										417							WOS:000269638800062		
J	Goldman, N.; Juzeliunas, G.; Oehberg, P.; Spielman, I. B.								Light-induced gauge fields for ultracold atoms								REPORTS ON PROGRESS IN PHYSICS				77	12					126401	10.1088/0034-4885/77/12/126401			DEC 2014	2014										415							WOS:000345895500003		
J	Fu, Liang; Berg, Erez								Odd-Parity Topological Superconductors: Theory and Application to CuxBi2Se3								PHYSICAL REVIEW LETTERS				105	9					097001	10.1103/PhysRevLett.105.097001			AUG 23 2010	2010										414							WOS:000281140500006		
J	Dziawa, P.; Kowalski, B. J.; Dybko, K.; Buczko, R.; Szczerbakow, A.; Szot, M.; Lusakowska, E.; Balasubramanian, T.; Wojek, B. M.; Berntsen, M. H.; Tjernberg, O.; Story, T.								Topological crystalline insulator states in Pb1-xSnxSe								NATURE MATERIALS				11	12			1023	1027		10.1038/NMAT3449			DEC 2012	2012										413							WOS:000311432600019		
J	Teo, Jeffrey C. Y.; Fu, Liang; Kane, C. L.								Surface states and topological invariants in three-dimensional topological insulators: Application to Bi1-xSbx								PHYSICAL REVIEW B				78	4					045426	10.1103/PhysRevB.78.045426			JUL 2008	2008										404							WOS:000258190400106		
J	Hosur, Pavan; Qi, Xiaoliang								Recent developments in transport phenomena in Weyl semimetals								COMPTES RENDUS PHYSIQUE				14	9-10			857	870		10.1016/j.crhy.2013.10.010			NOV-DEC 2013	2013										402							WOS:000329764400006		
J	Wang, Y. H.; Steinberg, H.; Jarillo-Herrero, P.; Gedik, N.								Observation of Floquet-Bloch States on the Surface of a Topological Insulator								SCIENCE				342	6157			453	457		10.1126/science.1239834			OCT 25 2013	2013										399							WOS:000326042600035		
J	Gupta, Ankur; Sakthivel, Tamilselvan; Seal, Suclipta								Recent development in 2D materials beyond graphene								PROGRESS IN MATERIALS SCIENCE				73				44	126		10.1016/j.pmatsci.2015.02.002			AUG 2015	2015										398							WOS:000356736000002		
J	Lin, Hsin; Wray, L. Andrew; Xia, Yuqi; Xu, Suyang; Jia, Shuang; Cava, Robert J.; Bansil, Arun; Hasan, M. Zahid								Half-Heusler ternary compounds as new multifunctional experimental platforms for topological quantum phenomena								NATURE MATERIALS				9	7			546	549		10.1038/NMAT2771			JUL 2010	2010										387							WOS:000279014300014		
J	Akhmerov, A. R.; Nilsson, Johan; Beenakker, C. W. J.								Electrically Detected Interferometry of Majorana Fermions in a Topological Insulator								PHYSICAL REVIEW LETTERS				102	21					216404	10.1103/PhysRevLett.102.216404			MAY 29 2009	2009										386							WOS:000266501600036		
J	Analytis, James G.; McDonald, Ross D.; Riggs, Scott C.; Chu, Jiun-Haw; Boebinger, G. S.; Fisher, Ian R.								Two-dimensional surface state in the quantum limit of a topological insulator								NATURE PHYSICS				6	12			960	964		10.1038/NPHYS1861			DEC 2010	2010										380							WOS:000284832600015		
J	Sasaki, Satoshi; Kriener, M.; Segawa, Kouji; Yada, Keiji; Tanaka, Yukio; Sato, Masatoshi; Ando, Yoichi								Topological Superconductivity in CuxBi2Se3								PHYSICAL REVIEW LETTERS				107	21					217001	10.1103/PhysRevLett.107.217001			NOV 14 2011	2011										376							WOS:000297134600018		
J	Rudner, Mark S.; Lindner, Netanel H.; Berg, Erez; Levin, Michael								Anomalous Edge States and the Bulk-Edge Correspondence for Periodically Driven Two-Dimensional Systems								PHYSICAL REVIEW X				3	3					031005	10.1103/PhysRevX.3.031005			JUL 23 2013	2013										370							WOS:000322161300001		
J	Lu, Hai-Zhou; Shan, Wen-Yu; Yao, Wang; Niu, Qian; Shen, Shun-Qing								Massive Dirac fermions and spin physics in an ultrathin film of topological insulator								PHYSICAL REVIEW B				81	11					115407	10.1103/PhysRevB.81.115407			MAR 2010	2010										361							WOS:000276248800120		
J	Fu, Liang; Kane, C. L.								Probing Neutral Majorana Fermion Edge Modes with Charge Transport								PHYSICAL REVIEW LETTERS				102	21					216403	10.1103/PhysRevLett.102.216403			MAY 29 2009	2009										358							WOS:000266501600035		
J	Wang, Haotian; Yuan, Hongtao; Hong, Seung Sae; Li, Yanbin; Cui, Yi								Physical and chemical tuning of two-dimensional transition metal dichalcogenides								CHEMICAL SOCIETY REVIEWS				44	9			2664	2680		10.1039/c4cs00287c			2015	2015										353							WOS:000353658000007		
