PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Geim, A. K.; Novoselov, K. S.								The rise of graphene								NATURE MATERIALS				6	3			183	191		10.1038/nmat1849			MAR 2007	2007										25192							WOS:000244570700015		
J	Castro Neto, A. H.; Guinea, F.; Peres, N. M. R.; Novoselov, K. S.; Geim, A. K.								The electronic properties of graphene								REVIEWS OF MODERN PHYSICS				81	1			109	162		10.1103/RevModPhys.81.109			JAN-MAR 2009	2009										14152							WOS:000264764600004		
J	Lee, Changgu; Wei, Xiaoding; Kysar, Jeffrey W.; Hone, James								Measurement of the elastic properties and intrinsic strength of monolayer graphene								SCIENCE				321	5887			385	388		10.1126/science.1157996			JUL 18 2008	2008										10772							WOS:000257713900044		
J	Balandin, Alexander A.; Ghosh, Suchismita; Bao, Wenzhong; Calizo, Irene; Teweldebrhan, Desalegne; Miao, Feng; Lau, Chun Ning								Superior thermal conductivity of single-layer graphene								NANO LETTERS				8	3			902	907		10.1021/nl0731872			MAR 2008	2008										7253							WOS:000253947400025		
J	Li, Xuesong; Cai, Weiwei; An, Jinho; Kim, Seyoung; Nah, Junghyo; Yang, Dongxing; Piner, Richard; Velamakanni, Aruna; Jung, Inhwa; Tutuc, Emanuel; Banerjee, Sanjay K.; Colombo, Luigi; Ruoff, Rodney S.								Large-Area Synthesis of High-Quality and Uniform Graphene Films on Copper Foils								SCIENCE				324	5932			1312	1314		10.1126/science.1171245			JUN 5 2009	2009										7175							WOS:000266635100041		
J	Kim, Keun Soo; Zhao, Yue; Jang, Houk; Lee, Sang Yoon; Kim, Jong Min; Kim, Kwang S.; Ahn, Jong-Hyun; Kim, Philip; Choi, Jae-Young; Hong, Byung Hee								Large-scale pattern growth of graphene films for stretchable transparent electrodes								NATURE				457	7230			706	710		10.1038/nature07719			FEB 5 2009	2009										7055							WOS:000263064700037		
J	Diebold, U								The surface science of titanium dioxide								SURFACE SCIENCE REPORTS				48	5-8			53	229	PII S0167-5729(02)00100-0	10.1016/S0167-5729(02)00100-0			2003	2003										5446							WOS:000186523100001		
J	Wei, Dacheng; Liu, Yunqi; Wang, Yu; Zhang, Hongliang; Huang, Liping; Yu, Gui								Synthesis of N-Doped Graphene by Chemical Vapor Deposition and Its Electrical Properties								NANO LETTERS				9	5			1752	1758		10.1021/nl803279t			MAY 2009	2009										1914							WOS:000266157100005		
J	Das Sarma, S.; Adam, Shaffique; Hwang, E. H.; Rossi, Enrico								Electronic transport in two-dimensional graphene								REVIEWS OF MODERN PHYSICS				83	2			407	470		10.1103/RevModPhys.83.407			MAY 16 2011	2011										1891							WOS:000290730200001		
J	Chen, Jian-Hao; Jang, Chaun; Xiao, Shudong; Ishigami, Masa; Fuhrer, Michael S.								Intrinsic and extrinsic performance limits of graphene devices on SiO2								NATURE NANOTECHNOLOGY				3	4			206	209		10.1038/nnano.2008.58			APR 2008	2008										1871							WOS:000254744300011		
J	Avouris, Phaedon; Chen, Zhihong; Perebeinos, Vasili								Carbon-based electronics								NATURE NANOTECHNOLOGY				2	10			605	615		10.1038/nnano.2007.300			OCT 2007	2007										1844							WOS:000250227200010		
J	Wang, Haibo; Maiyalagan, Thandavarayan; Wang, Xin								Review on Recent Progress in Nitrogen-Doped Graphene: Synthesis, Characterization, and Its Potential Applications								ACS CATALYSIS				2	5			781	794		10.1021/cs200652y			MAY 2012	2012										1838							WOS:000303492400012		
J	Roy, Poulomi; Berger, Steffen; Schmuki, Patrik								TiO2 Nanotubes: Synthesis and Applications								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				50	13			2904	2939		10.1002/anie.201001374			2011	2011										1825							WOS:000288333600005		
J	Graf, D.; Molitor, F.; Ensslin, K.; Stampfer, C.; Jungen, A.; Hierold, C.; Wirtz, L.								Spatially resolved raman spectroscopy of single- and few-layer graphene								NANO LETTERS				7	2			238	242		10.1021/nl061702a			FEB 2007	2007										1787							WOS:000244206500004		
J	Dresselhaus, Mildred S.; Jorio, Ado; Hofmann, Mario; Dresselhaus, Gene; Saito, Riichiro								Perspectives on Carbon Nanotubes and Graphene Raman Spectroscopy								NANO LETTERS				10	3			751	758		10.1021/nl904286r			MAR 2010	2010										1685							WOS:000275278200001		
J	Jiao, Liying; Zhang, Li; Wang, Xinran; Diankov, Georgi; Dai, Hongjie								Narrow graphene nanoribbons from carbon nanotubes								NATURE				458	7240			877	880		10.1038/nature07919			APR 16 2009	2009										1683							WOS:000265182500040		
J	Emtsev, Konstantin V.; Bostwick, Aaron; Horn, Karsten; Jobst, Johannes; Kellogg, Gary L.; Ley, Lothar; McChesney, Jessica L.; Ohta, Taisuke; Reshanov, Sergey A.; Roehrl, Jonas; Rotenberg, Eli; Schmid, Andreas K.; Waldmann, Daniel; Weber, Heiko B.; Seyller, Thomas								Towards wafer-size graphene layers by atmospheric pressure graphitization of silicon carbide								NATURE MATERIALS				8	3			203	207		10.1038/NMAT2382			MAR 2009	2009										1655							WOS:000263556800018		
J	Xia, Fengnian; Mueller, Thomas; Lin, Yu-ming; Valdes-Garcia, Alberto; Avouris, Phaedon								Ultrafast graphene photodetector								NATURE NANOTECHNOLOGY				4	12			839	843		10.1038/NNANO.2009.292			DEC 2009	2009										1649							WOS:000272415600017		
J	Sutter, Peter W.; Flege, Jan-Ingo; Sutter, Eli A.								Epitaxial graphene on ruthenium								NATURE MATERIALS				7	5			406	411		10.1038/nmat2166			MAY 2008	2008										1629							WOS:000255257600023		
J	Bunch, J. Scott; Verbridge, Scott S.; Alden, Jonathan S.; van der Zande, Arend M.; Parpia, Jeevak M.; Craighead, Harold G.; McEuen, Paul L.								Impermeable atomic membranes from graphene sheets								NANO LETTERS				8	8			2458	2462		10.1021/nl801457b			AUG 2008	2008										1564							WOS:000258440700060		
J	Grigorenko, A. N.; Polini, M.; Novoselov, K. S.								Graphene plasmonics								NATURE PHOTONICS				6	11			749	758		10.1038/NPHOTON.2012.262			NOV 2012	2012										1563							WOS:000310848300014		
J	Xia, Fengnian; Wang, Han; Jia, Yichen								Rediscovering black phosphorus as an anisotropic layered material for optoelectronics and electronics								NATURE COMMUNICATIONS				5						4458	10.1038/ncomms5458			JUL 2014	2014										1540							WOS:000340623400003		
J	Li, Haitao; Kang, Zhenhui; Liu, Yang; Lee, Shuit-Tong								Carbon nanodots: synthesis, properties and applications								JOURNAL OF MATERIALS CHEMISTRY				22	46			24230	24253		10.1039/c2jm34690g			DEC 14 2012	2012										1455							WOS:000311522600006		
J	Tung, Vincent C.; Allen, Matthew J.; Yang, Yang; Kaner, Richard B.								High-throughput solution processing of large-scale graphene								NATURE NANOTECHNOLOGY				4	1			25	29		10.1038/NNANO.2008.329			JAN 2009	2009										1448							WOS:000262638700011		
J	Kubacka, Anna; Fernandez-Garcia, Marcos; Colon, Gerardo								Advanced Nanoarchitectures for Solar Photocatalytic Applications								CHEMICAL REVIEWS				112	3			1555	1614		10.1021/cr100454n			MAR 2012	2012										1421							WOS:000301988700007		
J	Cancado, L. G.; Jorio, A.; Martins Ferreira, E. H.; Stavale, F.; Achete, C. A.; Capaz, R. B.; Moutinho, M. V. O.; Lombardo, A.; Kulmala, T. S.; Ferrari, A. C.								Quantifying Defects in Graphene via Raman Spectroscopy at Different Excitation Energies								NANO LETTERS				11	8			3190	3196		10.1021/nl201432g			AUG 2011	2011										1420							WOS:000293665600023		
J	Eda, Goki; Chhowalla, Manish								Chemically Derived Graphene Oxide: Towards Large-Area Thin-Film Electronics and Optoelectronics								ADVANCED MATERIALS				22	22			2392	2415		10.1002/adma.200903689			JUN 11 2010	2010										1397							WOS:000279450700001		
J	Lotya, Mustafa; Hernandez, Yenny; King, Paul J.; Smith, Ronan J.; Nicolosi, Valeria; Karlsson, Lisa S.; Blighe, Fiona M.; De, Sukanta; Wang, Zhiming; McGovern, I. T.; Duesberg, Georg S.; Coleman, Jonathan N.								Liquid Phase Production of Graphene by Exfoliation of Graphite in Surfactant/Water Solutions								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				131	10			3611	3620		10.1021/ja807449u			MAR 18 2009	2009										1395							WOS:000264792600052		
J	Bao, Qiaoliang; Zhang, Han; Wang, Yu; Ni, Zhenhua; Yan, Yongli; Shen, Ze Xiang; Loh, Kian Ping; Tang, Ding Yuan								Atomic-Layer Graphene as a Saturable Absorber for Ultrafast Pulsed Lasers								ADVANCED FUNCTIONAL MATERIALS				19	19			3077	3083		10.1002/adfm.200901007			OCT 9 2009	2009										1350							WOS:000271132700007		
J	Hecht, David S.; Hu, Liangbing; Irvin, Glen								Emerging Transparent Electrodes Based on Thin Films of Carbon Nanotubes, Graphene, and Metallic Nanostructures								ADVANCED MATERIALS				23	13			1482	1513		10.1002/adma.201003188			APR 5 2011	2011										1332							WOS:000289210800001		
J	Song, Li; Ci, Lijie; Lu, Hao; Sorokin, Pavel B.; Jin, Chuanhong; Ni, Jie; Kvashnin, Alexander G.; Kvashnin, Dmitry G.; Lou, Jun; Yakobson, Boris I.; Ajayan, Pulickel M.								Large Scale Growth and Characterization of Atomic Hexagonal Boron Nitride Layers								NANO LETTERS				10	8			3209	3215		10.1021/nl1022139			AUG 2010	2010										1330							WOS:000280728900080		
J	Koppens, F. H. L.; Mueller, T.; Avouris, Ph.; Ferrari, A. C.; Vitiello, M. S.; Polini, M.								Photodetectors based on graphene, other two-dimensional materials and hybrid systems								NATURE NANOTECHNOLOGY				9	10			780	793		10.1038/NNANO.2014.215			OCT 2014	2014										1255							WOS:000343617200018		
J	Chandra, Vimlesh; Park, Jaesung; Chun, Young; Lee, Jung Woo; Hwang, In-Chul; Kim, Kwang S.								Water-Dispersible Magnetite-Reduced Graphene Oxide Composites for Arsenic Removal								ACS NANO				4	7			3979	3986		10.1021/nn1008897			JUL 2010	2010										1244							WOS:000280364800053		
J	Ferrari, Andrea C.; Bonaccorso, Francesco; Fal'ko, Vladimir; Novoselov, Konstantin S.; Roche, Stephan; Boggild, Peter; Borini, Stefano; Koppens, Frank H. L.; Palermo, Vincenzo; Pugno, Nicola; Garrido, Jose A.; Sordan, Roman; Bianco, Alberto; Ballerini, Laura; Prato, Maurizio; Lidorikis, Elefterios; Kivioja, Jani; Marinelli, Claudio; Ryhaenen, Tapani; Morpurgo, Alberto; Coleman, Jonathan N.; Nicolosi, Valeria; Colombo, Luigi; Fert, Albert; Garcia-Hernandez, Mar; Bachtold, Adrian; Schneider, Gregory F.; Guinea, Francisco; Dekker, Cees; Barbone, Matteo; Sun, Zhipei; Galiotis, Costas; Grigorenko, Alexander N.; Konstantatos, Gerasimos; Kis, Andras; Katsnelson, Mikhail; Vandersypen, Lieven; Loiseau, Annick; Morandi, Vittorio; Neumaier, Daniel; Treossi, Emanuele; Pellegrini, Vittorio; Polini, Marco; Tredicucci, Alessandro; Williams, Gareth M.; Hong, Byung Hee; Ahn, Jong-Hyun; Kim, Jong Min; Zirath, Herbert; van Wees, Bart J.; van der Zant, Herre; Occhipinti, Luigi; Di Matteo, Andrea; Kinloch, Ian A.; Seyller, Thomas; Quesnel, Etienne; Feng, Xinliang; Teo, Ken; Rupesinghe, Nalin; Hakonen, Pertti; Neil, Simon R. T.; Tannock, Quentin; Loefwander, Tomas; Kinaret, Jari								Science and technology roadmap for graphene, related two-dimensional crystals, and hybrid systems								NANOSCALE				7	11			4598	4810		10.1039/c4nr01600a			2015	2015										1242							WOS:000351061700001		
J	Sun, Zhipei; Hasan, Tawfique; Torrisi, Felice; Popa, Daniel; Privitera, Giulia; Wang, Fengqiu; Bonaccorso, Francesco; Basko, Denis M.; Ferrari, Andrea C.								Graphene Mode-Locked Ultrafast Laser								ACS NANO				4	2			803	810		10.1021/nn901703e			FEB 2010	2010										1236							WOS:000274635800029		
J	Henderson, Michael A.								A surface science perspective on TiO2 photocatalysis								SURFACE SCIENCE REPORTS				66	6-7			185	297		10.1016/j.surfrep.2011.01.001			JUN 15 2011	2011										1209							WOS:000292421500001		
J	Moon, In Kyu; Lee, Junghyun; Ruoff, Rodney S.; Lee, Hyoyoung								Reduced graphene oxide by chemical graphitization								NATURE COMMUNICATIONS				1						73	10.1038/ncomms1067			SEP 2010	2010										1171							WOS:000283646500012		
J	Blake, P.; Hill, E. W.; Castro Neto, A. H.; Novoselov, K. S.; Jiang, D.; Yang, R.; Booth, T. J.; Geim, A. K.								Making graphene visible								APPLIED PHYSICS LETTERS				91	6					063124	10.1063/1.2768624			AUG 6 2007	2007										1147							WOS:000248661400130		
J	Liu, Keng-Ku; Zhang, Wenjing; Lee, Yi-Hsien; Lin, Yu-Chuan; Chang, Mu-Tung; Su, ChingYuan; Chang, Chia-Seng; Li, Hai; Shi, Yumeng; Zhang, Hua; Lai, Chao-Sung; Li, Lain-Jong								Growth of Large-Area and Highly Crystalline MoS2 Thin Layers on Insulating Substrates								NANO LETTERS				12	3			1538	1544		10.1021/nl2043612			MAR 2012	2012										1144							WOS:000301406800072		
J	Shen, Jianhua; Zhu, Yihua; Yang, Xiaoling; Li, Chunzhong								Graphene quantum dots: emergent nanolights for bioimaging, sensors, catalysis and photovoltaic devices								CHEMICAL COMMUNICATIONS				48	31			3686	3699		10.1039/c2cc00110a			2012	2012										1129							WOS:000301673200001		
J	Panchokarla, L. S.; Subrahmanyam, K. S.; Saha, S. K.; Govindaraj, Achutharao; Krishnamurthy, H. R.; Waghmare, U. V.; Rao, C. N. R.								Synthesis, Structure, and Properties of Boron- and Nitrogen-Doped Graphene								ADVANCED MATERIALS				21	46			4726	+		10.1002/adma.200901285			DEC 11 2009	2009										1123							WOS:000273204200013		
J	Blake, Peter; Brimicombe, Paul D.; Nair, Rahul R.; Booth, Tim J.; Jiang, Da; Schedin, Fred; Ponomarenko, Leonid A.; Morozov, Sergey V.; Gleeson, Helen F.; Hill, Ernie W.; Geim, Andre K.; Novoselov, Kostya S.								Graphene-based liquid crystal device								NANO LETTERS				8	6			1704	1708		10.1021/nl080649i			JUN 2008	2008										1122							WOS:000256742000026		
J	Akhavan, Omid; Ghaderi, Elham								Toxicity of Graphene and Graphene Oxide Nanowalls Against Bacteria								ACS NANO				4	10			5731	5736		10.1021/nn101390x			OCT 2010	2010										1118							WOS:000283453700034		
J	van der Zande, Arend M.; Huang, Pinshane Y.; Chenet, Daniel A.; Berkelbach, Timothy C.; You, YuMeng; Lee, Gwan-Hyoung; Heinz, Tony F.; Reichman, David R.; Muller, David A.; Hone, James C.								Grains and grain boundaries in highly crystalline monolayer molybdenum disulphide								NATURE MATERIALS				12	6			554	561		10.1038/nmat3633			JUN 2013	2013										1110							WOS:000319402200026		
J	Wu, Zhong-Shuai; Zhou, Guangmin; Yin, Li-Chang; Ren, Wencai; Li, Feng; Cheng, Hui-Ming								Graphene/metal oxide composite electrode materials for energy storage								NANO ENERGY				1	1			107	131		10.1016/j.nanoen.2011.11.001			JAN 2012	2012										1102							WOS:000318050000011		
J	Han, Xiguang; Kuang, Qin; Jin, Mingshang; Xie, Zhaoxiong; Zheng, Lansun								Synthesis of Titania Nanosheets with a High Percentage of Exposed (001) Facets and Related Photocatalytic Properties								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				131	9			3152	+		10.1021/ja8092373			MAR 11 2009	2009										1100							WOS:000264792400016		
J	Ma, Yi; Wang, Xiuli; Jia, Yushuai; Chen, Xiaobo; Han, Hongxian; Li, Can								Titanium Dioxide-Based Nanomaterials for Photocatalytic Fuel Generations								CHEMICAL REVIEWS				114	19			9987	10043		10.1021/cr500008u			OCT 8 2014	2014										1098							WOS:000343017900018		
J	Mohiuddin, T. M. G.; Lombardo, A.; Nair, R. R.; Bonetti, A.; Savini, G.; Jalil, R.; Bonini, N.; Basko, D. M.; Galiotis, C.; Marzari, N.; Novoselov, K. S.; Geim, A. K.; Ferrari, A. C.								Uniaxial strain in graphene by Raman spectroscopy: G peak splitting, Gruneisen parameters, and sample orientation								PHYSICAL REVIEW B				79	20					205433	10.1103/PhysRevB.79.205433			MAY 2009	2009										1070							WOS:000266501500114		
