J	HALLS, JJM; WALSH, CA; GREENHAM, NC; MARSEGLIA, EA; FRIEND, RH; MORATTI, SC; HOLMES, AB								EFFICIENT PHOTODIODES FROM INTERPENETRATING POLYMER NETWORKS								NATURE				376	6540			498	500		10.1038/376498a0			AUG 10 1995	1995										2728							WOS:A1995RN62200039		
J	Sheldon, R								Catalytic reactions in ionic liquids								CHEMICAL COMMUNICATIONS					23			2399	2407		10.1039/b107270f			2001	2001										2716							WOS:000172412000001		
J	LEGRINI, O; OLIVEROS, E; BRAUN, AM								PHOTOCHEMICAL PROCESSES FOR WATER-TREATMENT								CHEMICAL REVIEWS				93	2			671	698		10.1021/cr00018a003			MAR-APR 1993	1993										2713							WOS:A1993KW29700004		
J	Mills, A; LeHunte, S								An overview of semiconductor photocatalysis								JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY				108	1			1	35		10.1016/S1010-6030(97)00118-4			JUL 31 1997	1997										2683							WOS:A1997XW88600001		
J	Mathew, Simon; Yella, Aswani; Gao, Peng; Humphry-Baker, Robin; Curchod, Basile F. E.; Ashari-Astani, Negar; Tavernelli, Ivano; Rothlisberger, Ursula; Nazeeruddin, Md. Khaja; Graetzel, Michael								Dye-sensitized solar cells with 13% efficiency achieved through the molecular engineering of porphyrin sensitizers								NATURE CHEMISTRY				6	3			242	247		10.1038/NCHEM.1861			MAR 2014	2014										2673							WOS:000331951800015		
J	Green, Martin A.; Ho-Baillie, Anita; Snaith, Henry J.								The emergence of perovskite solar cells								NATURE PHOTONICS				8	7			506	514		10.1038/NPHOTON.2014.134			JUL 2014	2014										2559							WOS:000338216000006		
J	BRUS, L								ELECTRONIC WAVE-FUNCTIONS IN SEMICONDUCTOR CLUSTERS - EXPERIMENT AND THEORY								JOURNAL OF PHYSICAL CHEMISTRY				90	12			2555	2560		10.1021/j100403a003			JUN 5 1986	1986										2548							WOS:A1986C790900003		
J	Talapin, Dmitri V.; Lee, Jong-Soo; Kovalenko, Maksym V.; Shevchenko, Elena V.								Prospects of Colloidal Nanocrystals for Electronic and Optoelectronic Applications								CHEMICAL REVIEWS				110	1			389	458		10.1021/cr900137k			JAN 2010	2010										2546							WOS:000274255700014		
J	Ishii, H; Sugiyama, K; Ito, E; Seki, K								Energy level alignment and interfacial electronic structures at organic metal and organic organic interfaces								ADVANCED MATERIALS				11	8			605	+		10.1002/(SICI)1521-4095(199906)11:8<605::AID-ADMA605>3.0.CO;2-Q			JUN 2 1999	1999										2518							WOS:000081095000006		
J	Konstantinou, IK; Albanis, TA								TiO2-assisted photocatalytic degradation of azo dyes in aqueous solution: kinetic and mechanistic investigations - A review								APPLIED CATALYSIS B-ENVIRONMENTAL				49	1			1	14		10.1016/j.apcatb.2003.11.010			APR 20 2004	2004										2500							WOS:000220939600001		
J	Linic, Suljo; Christopher, Phillip; Ingram, David B.								Plasmonic-metal nanostructures for efficient conversion of solar to chemical energy								NATURE MATERIALS				10	12			911	921		10.1038/NMAT3151			DEC 2011	2011										2399							WOS:000297692900014		
J	Ni, Meng; Leung, Michael K. H.; Leung, Dennis Y. C.; Sumathy, K.								A review and recent developments in photocatalytic water-splitting using TiO2 for hydrogen production								RENEWABLE & SUSTAINABLE ENERGY REVIEWS				11	3			401	425		10.1016/j.rser.2005.01.009			APR 2007	2007										2385							WOS:000242038100002		
J	Littke, AF; Fu, GC								Palladium-catalyzed coupling reactions of aryl chlorides								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				41	22			4176	4211		10.1002/1521-3773(20021115)41:22<4176::AID-ANIE4176>3.0.CO;2-U			2002	2002										2363							WOS:000179506300001		
J	Huang, Xiao; Qi, Xiaoying; Boey, Freddy; Zhang, Hua								Graphene-based composites								CHEMICAL SOCIETY REVIEWS				41	2			666	686		10.1039/c1cs15078b			2012	2012										2361							WOS:000298854900011		
J	Hallett, Jason P.; Welton, Tom								Room-Temperature Ionic Liquids: Solvents for Synthesis and Catalysis. 2								CHEMICAL REVIEWS				111	5			3508	3576		10.1021/cr1003248			MAY 2011	2011										2325							WOS:000290373100013		
J	Tian, Bozhi; Zheng, Xiaolin; Kempa, Thomas J.; Fang, Ying; Yu, Nanfang; Yu, Guihua; Huang, Jinlin; Lieber, Charles M.								Coaxial silicon nanowires as solar cells and nanoelectronic power sources								NATURE				449	7164			885	U8		10.1038/nature06181			OCT 18 2007	2007										2277							WOS:000250230600042		
J	STAMLER, JS; SINGEL, DJ; LOSCALZO, J								BIOCHEMISTRY OF NITRIC-OXIDE AND ITS REDOX-ACTIVATED FORMS								SCIENCE				258	5090			1898	1902		10.1126/science.1281928			DEC 18 1992	1992										2269							WOS:A1992KD08800021		
J	Astruc, D; Lu, F; Aranzaes, JR								Nanoparticles as recyclable catalysts: The frontier between homogeneous and heterogeneous catalysis								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				44	48			7852	7872		10.1002/anie.200500766			2005	2005										2237							WOS:000234007700005		
J	Lamansky, S; Djurovich, P; Murphy, D; Abdel-Razzaq, F; Lee, HE; Adachi, C; Burrows, PE; Forrest, SR; Thompson, ME								Highly phosphorescent bis-cyclometalated iridium complexes: Synthesis, photophysical characterization, and use in organic light emitting diodes								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				123	18			4304	4312		10.1021/ja003693s			MAY 9 2001	2001										2226							WOS:000168495800025		
J	Tong, Hua; Ouyang, Shuxin; Bi, Yingpu; Umezawa, Naoto; Oshikiri, Mitsutake; Ye, Jinhua								Nano-photocatalytic Materials: Possibilities and Challenges								ADVANCED MATERIALS				24	2			229	251		10.1002/adma.201102752			JAN 10 2012	2012										2218							WOS:000298788000008		
J	El-Sayed, MA								Some interesting properties of metals confined in time and nanometer space of different shapes								ACCOUNTS OF CHEMICAL RESEARCH				34	4			257	264		10.1021/ar960016n			APR 2001	2001										2200							WOS:000168254500001		
J	Zumft, WG								Cell biology and molecular basis of denitrification								MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS				61	4			533	+					DEC 1997	1997										2173							WOS:A1997YK74200007		
J	Winter, M; Besenhard, JO; Spahr, ME; Novak, P								Insertion electrode materials for rechargeable lithium batteries								ADVANCED MATERIALS				10	10			725	763		10.1002/(SICI)1521-4095(199807)10:10<725::AID-ADMA725>3.0.CO;2-Z			JUL 9 1998	1998										2159							WOS:000074782000001		
J	Mei, Ju; Leung, Nelson L. C.; Kwok, Ryan T. K.; Lam, Jacky W. Y.; Tang, Ben Zhong								Aggregation-Induced Emission: Together We Shine, United We Soar!								CHEMICAL REVIEWS				115	21			11718	11940		10.1021/acs.chemrev.5b00263			NOV 11 2015	2015										2098							WOS:000364727100004		
J	Dresselhaus, MS; Thomas, IL								Alternative energy technologies								NATURE				414	6861			332	337		10.1038/35104599			NOV 15 2001	2001										2078							WOS:000172150700052		
J	Cushing, BL; Kolesnichenko, VL; O'Connor, CJ								Recent advances in the liquid-phase syntheses of inorganic nanoparticles								CHEMICAL REVIEWS				104	9			3893	3946		10.1021/cr030027b			SEP 2004	2004										2053							WOS:000223812900006		
J	McCrory, Charles C. L.; Jung, Suho; Peters, Jonas C.; Jaramillo, Thomas F.								Benchmarking Heterogeneous Electrocatalysts for the Oxygen Evolution Reaction								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				135	45			16977	16987		10.1021/ja407115p			NOV 13 2013	2013										2052							WOS:000327103600040		
J	Balzani, V; Juris, A; Venturi, M; Campagna, S; Serroni, S								Luminescent and redox-active polynuclear transition metal complexes								CHEMICAL REVIEWS				96	2			759	833		10.1021/cr941154y			MAR-APR 1996	1996										2039							WOS:A1996UC45100007		
J	Eliseeva, Svetlana V.; Buenzli, Jean-Claude G.								Lanthanide luminescence for functional materials and bio-sciences								CHEMICAL SOCIETY REVIEWS				39	1			189	227		10.1039/b905604c			2010	2010										2023							WOS:000272711300018		
J	Ahmadi, TS; Wang, ZL; Green, TC; Henglein, A; ElSayed, MA								Shape-controlled synthesis of colloidal platinum nanoparticles								SCIENCE				272	5270			1924	1926		10.1126/science.272.5270.1924			JUN 28 1996	1996										2015							WOS:A1996UV29400043		
J	IZATT, RM; PAWLAK, K; BRADSHAW, JS; BRUENING, RL								THERMODYNAMIC AND KINETIC DATA FOR MACROCYCLE INTERACTION WITH CATIONS AND ANIONS								CHEMICAL REVIEWS				91	8			1721	2085		10.1021/cr00008a003			DEC 1991	1991										1998							WOS:A1991GW57200003		
J	Kamat, Prashant V.								Quantum Dot Solar Cells. Semiconductor Nanocrystals as Light Harvesters								JOURNAL OF PHYSICAL CHEMISTRY C				112	48			18737	18753		10.1021/jp806791s			DEC 4 2008	2008										1966							WOS:000261218400007		
J	Mishra, Amaresh; Fischer, Markus K. R.; Baeuerle, Peter								Metal-Free Organic Dyes for Dye-Sensitized Solar Cells: From Structure: Property Relationships to Design Rules								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				48	14			2474	2499		10.1002/anie.200804709			2009	2009										1960							WOS:000264661600009		
J	Hashimoto, K; Irie, H; Fujishima, A								TiO2 photocatalysis: A historical overview and future prospects								JAPANESE JOURNAL OF APPLIED PHYSICS PART 1-REGULAR PAPERS BRIEF COMMUNICATIONS & REVIEW PAPERS				44	12			8269	8285		10.1143/JJAP.44.8269			DEC 2005	2005										1957							WOS:000234223800003		
J	Shipway, AN; Katz, E; Willner, I								Nanoparticle arrays on surfaces for electronic, optical, and sensor applications								CHEMPHYSCHEM				1	1			18	52		10.1002/1439-7641(20000804)1:1<18::AID-CPHC18>3.0.CO;2-L			AUG 4 2000	2000										1947							WOS:000168279800002		
J	Mor, GK; Shankar, K; Paulose, M; Varghese, OK; Grimes, CA								Use of highly-ordered TiO2 nanotube arrays in dye-sensitized solar cells								NANO LETTERS				6	2			215	218		10.1021/nl052099j			FEB 2006	2006										1944							WOS:000235532700014		
J	Schneider, Jenny; Matsuoka, Masaya; Takeuchi, Masato; Zhang, Jinlong; Horiuchi, Yu; Anpo, Masakazu; Bahnemann, Detlef W.								Understanding TiO2 Photocatalysis: Mechanisms and Materials								CHEMICAL REVIEWS				114	19			9919	9986		10.1021/cr5001892			OCT 8 2014	2014										1888							WOS:000343017900017		
J	Coakley, KM; McGehee, MD								Conjugated polymer photovoltaic cells								CHEMISTRY OF MATERIALS				16	23			4533	4542		10.1021/cm049654n			NOV 16 2004	2004										1857							WOS:000225078600015		
J	Hoppe, H; Sariciftci, NS								Organic solar cells: An overview								JOURNAL OF MATERIALS RESEARCH				19	7			1924	1945		10.1557/JMR.2004.0252			JUL 2004	2004										1852							WOS:000222418200004		
J	KALYANASUNDARAM, K								PHOTOPHYSICS, PHOTOCHEMISTRY AND SOLAR-ENERGY CONVERSION WITH TRIS(BIPYRIDYL)RUTHENIUM(II) AND ITS ANALOGS								COORDINATION CHEMISTRY REVIEWS				46	OCT			159	244		10.1016/0010-8545(82)85003-0			1982	1982										1832							WOS:A1982PL76300003		
J	Williams, Graeme; Seger, Brian; Kamat, Prashant V.								TiO2-graphene nanocomposites. UV-assisted photocatalytic reduction of graphene oxide								ACS NANO				2	7			1487	1491		10.1021/nn800251f			JUL 2008	2008										1828							WOS:000257861900026		
J	Roy, Poulomi; Berger, Steffen; Schmuki, Patrik								TiO2 Nanotubes: Synthesis and Applications								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				50	13			2904	2939		10.1002/anie.201001374			2011	2011										1825							WOS:000288333600005		
J	Im, Jeong-Hyeok; Lee, Chang-Ryul; Lee, Jin-Wook; Park, Sang-Won; Park, Nam-Gyu								6.5% efficient perovskite quantum-dot-sensitized solar cell								NANOSCALE				3	10			4088	4093		10.1039/c1nr10867k			2011	2011										1818							WOS:000295618200014		
J	Reddy, M. V.; Rao, G. V. Subba; Chowdari, B. V. R.								Metal Oxides and Oxysalts as Anode Materials for Li Ion Batteries								CHEMICAL REVIEWS				113	7			5364	5457		10.1021/cr3001884			JUL 2013	2013										1807							WOS:000321810600019		
J	Sackmann, E								Supported membranes: Scientific and practical applications								SCIENCE				271	5245			43	48		10.1126/science.271.5245.43			JAN 5 1996	1996										1805							WOS:A1996TP02200036		
J	SCHMID, G								LARGE CLUSTERS AND COLLOIDS - METALS IN THE EMBRYONIC STATE								CHEMICAL REVIEWS				92	8			1709	1727		10.1021/cr00016a002			DEC 1992	1992										1791							WOS:A1992KE68500002		
J	Zhu, Kai; Neale, Nathan R.; Miedaner, Alexander; Frank, Arthur J.								Enhanced charge-collection efficiencies and light scattering in dye-sensitized solar cells using oriented TiO2 nanotubes arrays								NANO LETTERS				7	1			69	74		10.1021/nl062000o			JAN 2007	2007										1790							WOS:000243381300013		
