PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								Topological insulators and superconductors								REVIEWS OF MODERN PHYSICS				83	4						10.1103/RevModPhys.83.1057			OCT 14 2011	2011										5918							WOS:000308825700001		
J	Butler, Sheneve Z.; Hollen, Shawna M.; Cao, Linyou; Cui, Yi; Gupta, Jay A.; Gutierrez, Humberto R.; Heinz, Tony F.; Hong, Seung Sae; Huang, Jiaxing; Ismach, Ariel F.; Johnston-Halperin, Ezekiel; Kuno, Masaru; Plashnitsa, Vladimir V.; Robinson, Richard D.; Ruoff, Rodney S.; Salahuddin, Sayeef; Shan, Jie; Shi, Li; Spencer, Michael G.; Terrones, Mauricio; Windl, Wolfgang; Goldberger, Joshua E.								Progress, Challenges, and Opportunities in Two-Dimensional Materials Beyond Graphene								ACS NANO				7	4			2898	2926		10.1021/nn400280c			APR 2013	2013										2237							WOS:000318143300005		
J	Johnston, David C.								The puzzle of high temperature superconductivity in layered iron pnictides and chalcogenides								ADVANCES IN PHYSICS				59	6			803	1061	PII 927730316	10.1080/00018732.2010.513480			2010	2010										1225							WOS:000282683200001		
J	Armitage, N. P.; Mele, E. J.; Vishwanath, Ashvin								Weyl and Dirac semimetals in three-dimensional solids								REVIEWS OF MODERN PHYSICS				90	1					015001	10.1103/RevModPhys.90.015001			JAN 22 2018	2018										388							WOS:000423135000001		
J	Basov, D. N.; Averitt, Richard D.; van der Marel, Dirk; Dressel, Martin; Haule, Kristjan								Electrodynamics of correlated electron materials								REVIEWS OF MODERN PHYSICS				83	2			471	541		10.1103/RevModPhys.83.471			JUN 2 2011	2011										379							WOS:000291199300001		
J	Tan, Shiyong; Zhang, Yan; Xia, Miao; Ye, Zirong; Chen, Fei; Xie, Xin; Peng, Rui; Xu, Difei; Fan, Qin; Xu, Haichao; Jiang, Juan; Zhang, Tong; Lai, Xinchun; Xiang, Tao; Hu, Jiangping; Xie, Binping; Feng, Donglai								Interface-induced superconductivity and strain-dependent spin density waves in FeSe/SrTiO3 thin films								NATURE MATERIALS				12	7			634	640		10.1038/NMAT3654			JUL 2013	2013										365							WOS:000320720000019		
J	Dai, Pengcheng; Hu, Jiangping; Dagotto, Elbio								Magnetism and its microscopic origin in iron-based high-temperature superconductors								NATURE PHYSICS				8	10			709	718		10.1038/NPHYS2438			OCT 2012	2012										341							WOS:000309542800011		
J	Checkelsky, J. G.; Hor, Y. S.; Cava, R. J.; Ong, N. P.								Bulk Band Gap and Surface State Conduction Observed in Voltage-Tuned Crystals of the Topological Insulator Bi2Se3								PHYSICAL REVIEW LETTERS				106	19					196801	10.1103/PhysRevLett.106.196801			MAY 10 2011	2011										293							WOS:000290437900009		
J	Kasahara, S.; Shi, H. J.; Hashimoto, K.; Tonegawa, S.; Mizukami, Y.; Shibauchi, T.; Sugimoto, K.; Fukuda, T.; Terashima, T.; Nevidomskyy, Andriy H.; Matsuda, Y.								Electronic nematicity above the structural and superconducting transition in BaFe2(As1-xPx)(2)								NATURE				486	7403			382	385		10.1038/nature11178			JUN 21 2012	2012										290							WOS:000305466800039		
J	Chubukov, Andrey								Pairing Mechanism in Fe-Based Superconductors								Annual Review of Condensed Matter Physics				3				57	92		10.1146/annurev-conmatphys-020911-125055			2012	2012										288							WOS:000301793100005		
J	Xiu, Faxian; He, Liang; Wang, Yong; Cheng, Lina; Chang, Li-Te; Lang, Murong; Huang, Guan; Kou, Xufeng; Zhou, Yi; Jiang, Xiaowei; Chen, Zhigang; Zou, Jin; Shailos, Alexandros; Wang, Kang L.								Manipulating surface states in topological insulator nanoribbons								NATURE NANOTECHNOLOGY				6	4			216	221		10.1038/nnano.2011.19			APR 2011	2011										287							WOS:000289199700009		
J	Bruene, C.; Liu, C. X.; Novik, E. G.; Hankiewicz, E. M.; Buhmann, H.; Chen, Y. L.; Qi, X. L.; Shen, Z. X.; Zhang, S. C.; Molenkamp, L. W.								Quantum Hall Effect from the Topological Surface States of Strained Bulk HgTe								PHYSICAL REVIEW LETTERS				106	12					126803	10.1103/PhysRevLett.106.126803			MAR 22 2011	2011										287							WOS:000288651800009		
J	Butch, N. P.; Kirshenbaum, K.; Syers, P.; Sushkov, A. B.; Jenkins, G. S.; Drew, H. D.; Paglione, J.								Strong surface scattering in ultrahigh-mobility Bi2Se3 topological insulator crystals								PHYSICAL REVIEW B				81	24					241301	10.1103/PhysRevB.81.241301			JUN 1 2010	2010										284							WOS:000278202700001		
J	Banerjee, A.; Bridges, C. A.; Yan, J. -Q.; Aczel, A. A.; Li, L.; Stone, M. B.; Granroth, G. E.; Lumsden, M. D.; Yiu, Y.; Knolle, J.; Bhattacharjee, S.; Kovrizhin, D. L.; Moessner, R.; Tennant, D. A.; Mandrus, D. G.; Nagler, S. E.								Proximate Kitaev quantum spin liquid behaviour in a honeycomb magnet								NATURE MATERIALS				15	7			733	+		10.1038/NMAT4604			JUL 2016	2016										276							WOS:000378347800022		
J	Bansil, A.; Lin, Hsin; Das, Tanmoy								Colloquium: Topological band theory								REVIEWS OF MODERN PHYSICS				88	2					021004	10.1103/RevModPhys.88.021004			JUN 29 2016	2016										270							WOS:000378882600001		
J	Fradkin, Eduardo; Kivelson, Steven A.; Tranquada, John M.								Colloquium: Theory of intertwined orders in high temperature superconductors								REVIEWS OF MODERN PHYSICS				87	2			457	482		10.1103/RevModPhys.87.457			MAY 26 2015	2015										267							WOS:000355105300001		
J	Savary, Lucile; Balents, Leon								Quantum spin liquids: a review								REPORTS ON PROGRESS IN PHYSICS				80	1					016502	10.1088/0034-4885/80/1/016502			JAN 2017	2017										266							WOS:000388231300001		
J	Kim, Dohun; Cho, Sungjae; Butch, Nicholas P.; Syers, Paul; Kirshenbaum, Kevin; Adam, Shaffique; Paglione, Johnpierre; Fuhrer, Michael S.								Surface conduction of topological Dirac electrons in bulk insulating Bi2Se3								NATURE PHYSICS				8	6			459	463		10.1038/NPHYS2286			JUN 2012	2012										265							WOS:000304667500011		
J	Lumsden, M. D.; Christianson, A. D.								Magnetism in Fe-based superconductors								JOURNAL OF PHYSICS-CONDENSED MATTER				22	20					203203	10.1088/0953-8984/22/20/203203			MAY 26 2010	2010										265							WOS:000277215500004		
J	Dai, Pengcheng								Antiferromagnetic order and spin dynamics in iron-based superconductors								REVIEWS OF MODERN PHYSICS				87	3			855	896		10.1103/RevModPhys.87.855			AUG 20 2015	2015										264							WOS:000359906200001		
J	Zhang, Jinsong; Chang, Cui-Zu; Zhang, Zuocheng; Wen, Jing; Feng, Xiao; Li, Kang; Liu, Minhao; He, Ke; Wang, Lili; Chen, Xi; Xue, Qi-Kun; Ma, Xucun; Wang, Yayu								Band structure engineering in (Bi1-xSbx)(2)Te-3 ternary topological insulators								NATURE COMMUNICATIONS				2						574	10.1038/ncomms1588			DEC 2011	2011										260							WOS:000299159900006		
J	Pratt, D. K.; Tian, W.; Kreyssig, A.; Zarestky, J. L.; Nandi, S.; Ni, N.; Bud'ko, S. L.; Canfield, P. C.; Goldman, A. I.; McQueeney, R. J.								Coexistence of Competing Antiferromagnetic and Superconducting Phases in the Underdoped Ba(Fe0.953Co0.047)(2)As-2 Compound Using X-ray and Neutron Scattering Techniques								PHYSICAL REVIEW LETTERS				103	8					087001	10.1103/PhysRevLett.103.087001			AUG 21 2009	2009										257							WOS:000269288500054		
J	Fernandes, R. M.; Chubukov, A. V.; Knolle, J.; Eremin, I.; Schmalian, J.								Preemptive nematic order, pseudogap, and orbital order in the iron pnictides								PHYSICAL REVIEW B				85	2					024534	10.1103/PhysRevB.85.024534			JAN 25 2012	2012										256							WOS:000299869000004		
J	Canfield, Paul C.; Bud'ko, Sergey L.								FeAs-Based Superconductivity: A Case Study of the Effects of Transition Metal Doping on BaFe2As2								Annual Review of Condensed Matter Physics				1				27	50		10.1146/annurev-conmatphys-070909-104041			2010	2010										256							WOS:000281964000002		
J	Inosov, D. S.; Park, J. T.; Bourges, P.; Sun, D. L.; Sidis, Y.; Schneidewind, A.; Hradil, K.; Haug, D.; Lin, C. T.; Keimer, B.; Hinkov, V.								Normal-state spin dynamics and temperature-dependent spin-resonance energy in optimally doped BaFe1.85Co0.15As2								NATURE PHYSICS				6	3			178	181		10.1038/NPHYS1483			MAR 2010	2010										249							WOS:000275024000016		
J	Yu, Rui; Qi, Xiao Liang; Bernevig, Andrei; Fang, Zhong; Dai, Xi								Equivalent expression of Z(2) topological invariant for band insulators using the non-Abelian Berry connection								PHYSICAL REVIEW B				84	7					075119	10.1103/PhysRevB.84.075119			AUG 8 2011	2011										244							WOS:000293618900006		
J	Fernandes, R. M.; VanBebber, L. H.; Bhattacharya, S.; Chandra, P.; Keppens, V.; Mandrus, D.; McGuire, M. A.; Sales, B. C.; Sefat, A. S.; Schmalian, J.								Effects of Nematic Fluctuations on the Elastic Properties of Iron Arsenide Superconductors								PHYSICAL REVIEW LETTERS				105	15					157003	10.1103/PhysRevLett.105.157003			OCT 4 2010	2010										244							WOS:000282426400017		
J	Taskin, A. A.; Sasaki, Satoshi; Segawa, Kouji; Ando, Yoichi								Manifestation of Topological Protection in Transport Properties of Epitaxial Bi2Se3 Thin Films								PHYSICAL REVIEW LETTERS				109	6					066803	10.1103/PhysRevLett.109.066803			AUG 9 2012	2012										232							WOS:000307330600007		
J	Williams, J. R.; Bestwick, A. J.; Gallagher, P.; Hong, Seung Sae; Cui, Y.; Bleich, Andrew S.; Analytis, J. G.; Fisher, I. R.; Goldhaber-Gordon, D.								Unconventional Josephson Effect in Hybrid Superconductor-Topological Insulator Devices								PHYSICAL REVIEW LETTERS				109	5					056803	10.1103/PhysRevLett.109.056803			JUL 30 2012	2012										230							WOS:000306944200002		
J	He, L. P.; Hong, X. C.; Dong, J. K.; Pan, J.; Zhang, Z.; Zhang, J.; Li, S. Y.								Quantum Transport Evidence for the Three-Dimensional Dirac Semimetal Phase in Cd3As2								PHYSICAL REVIEW LETTERS				113	24					246402	10.1103/PhysRevLett.113.246402			DEC 9 2014	2014										218							WOS:000346387700014		
J	Taskin, A. A.; Ren, Zhi; Sasaki, Satoshi; Segawa, Kouji; Ando, Yoichi								Observation of Dirac Holes and Electrons in a Topological Insulator								PHYSICAL REVIEW LETTERS				107	1					016801	10.1103/PhysRevLett.107.016801			JUN 27 2011	2011										218							WOS:000292115000004		
J	Zhu, Xiyu; Han, Fei; Mu, Gang; Cheng, Peng; Shen, Bing; Zeng, Bin; Wen, Hai-Hu								Transition of stoichiometric Sr2VO3FeAs to a superconducting state at 37.2 K								PHYSICAL REVIEW B				79	22					220512	10.1103/PhysRevB.79.220512			JUN 2009	2009										208							WOS:000267699300020		
J	Park, Jae Hyung; Coy, Jim M.; Kasirga, T. Serkan; Huang, Chunming; Fei, Zaiyao; Hunter, Scott; Cobden, David H.								Measurement of a solid-state triple point at the metal-insulator transition in VO2								NATURE				500	7463			431	434		10.1038/nature12425			AUG 22 2013	2013										206							WOS:000323316100029		
J	Tanatar, M. A.; Blomberg, E. C.; Kreyssig, A.; Kim, M. G.; Ni, N.; Thaler, A.; Bud'ko, S. L.; Canfield, P. C.; Goldman, A. I.; Mazin, I. I.; Prozorov, R.								Uniaxial-strain mechanical detwinning of CaFe2As2 and BaFe2As2 crystals: Optical and transport study								PHYSICAL REVIEW B				81	18					184508	10.1103/PhysRevB.81.184508			MAY 1 2010	2010										206							WOS:000278141800087		
J	Bansal, Namrata; Kim, Yong Seung; Brahlek, Matthew; Edrey, Eliav; Oh, Seongshik								Thickness-Independent Transport Channels in Topological Insulator Bi2Se3 Thin Films								PHYSICAL REVIEW LETTERS				109	11					116804	10.1103/PhysRevLett.109.116804			SEP 12 2012	2012										205							WOS:000308646600009		
J	Peng, Hailin; Dang, Wenhui; Cao, Jie; Chen, Yulin; Wu, Di; Zheng, Wenshan; Li, Hui; Shen, Zhi-Xun; Liu, Zhongfan								Topological insulator nanostructures for near-infrared transparent flexible electrodes								NATURE CHEMISTRY				4	4			281	286		10.1038/nchem.1277			APR 2012	2012										205							WOS:000301983400013		
J	Sacepe, Benjamin; Oostinga, Jeroen B.; Li, Jian; Ubaldini, Alberto; Couto, Nuno J. G.; Giannini, Enrico; Morpurgo, Alberto F.								Gate-tuned normal and superconducting transport at the surface of a topological insulator								NATURE COMMUNICATIONS				2						575	10.1038/ncomms1586			DEC 2011	2011										197							WOS:000299159900007		
J	Baek, S-H.; Efremov, D. V.; Ok, J. M.; Kim, J. S.; van den Brink, Jeroen; Buechner, B.								Orbital-driven nematicity in FeSe								NATURE MATERIALS				14	2			210	214		10.1038/NMAT4138			FEB 2015	2015										195							WOS:000348600200021		
J	Steinberg, H.; Laloe, J. -B.; Fatemi, V.; Moodera, J. S.; Jarillo-Herrero, P.								Electrically tunable surface-to-bulk coherent coupling in topological insulator thin films								PHYSICAL REVIEW B				84	23					233101	10.1103/PhysRevB.84.233101			DEC 5 2011	2011										195							WOS:000297765200001		
J	Dong, J. K.; Zhou, S. Y.; Guan, T. Y.; Zhang, H.; Dai, Y. F.; Qiu, X.; Wang, X. F.; He, Y.; Chen, X. H.; Li, S. Y.								Quantum Criticality and Nodal Superconductivity in the FeAs-Based Superconductor KFe2As2								PHYSICAL REVIEW LETTERS				104	8					087005	10.1103/PhysRevLett.104.087005			FEB 26 2010	2010										193							WOS:000275060000042		
J	Hashimoto, K.; Yamashita, M.; Kasahara, S.; Senshu, Y.; Nakata, N.; Tonegawa, S.; Ikada, K.; Serafin, A.; Carrington, A.; Terashima, T.; Ikeda, H.; Shibauchi, T.; Matsuda, Y.								Line nodes in the energy gap of superconducting BaFe2(As1-xPx)(2) single crystals as seen via penetration depth and thermal conductivity								PHYSICAL REVIEW B				81	22					220501	10.1103/PhysRevB.81.220501			JUN 1 2010	2010										190							WOS:000278202400001		
J	Dam Thanh Son								Is the Composite Fermion a Dirac Particle?								PHYSICAL REVIEW X				5	3					031027	10.1103/PhysRevX.5.031027			SEP 2 2015	2015										188							WOS:000360429400001		
J	Veldhorst, M.; Snelder, M.; Hoek, M.; Gang, T.; Guduru, V. K.; Wang, X. L.; Zeitler, U.; van der Wiel, W. G.; Golubov, A. A.; Hilgenkamp, H.; Brinkman, A.								Josephson supercurrent through a topological insulator surface state								NATURE MATERIALS				11	5			417	421		10.1038/NMAT3255			MAY 2012	2012										188							WOS:000303108500018		
J	Watson, M. D.; Kim, T. K.; Haghighirad, A. A.; Davies, N. R.; McCollam, A.; Narayanan, A.; Blake, S. F.; Chen, Y. L.; Ghannadzadeh, S.; Schofield, A. J.; Hoesch, M.; Meingast, C.; Wolf, T.; Coldea, A. I.								Emergence of the nematic electronic state in FeSe								PHYSICAL REVIEW B				91	15					155106	10.1103/PhysRevB.91.155106			APR 7 2015	2015										186							WOS:000352256000001		
J	Norman, Michael R.								The Challenge of Unconventional Superconductivity								SCIENCE				332	6026			196	200		10.1126/science.1200181			APR 8 2011	2011										186							WOS:000289251100039		
J	Sobota, J. A.; Yang, S.; Analytis, J. G.; Chen, Y. L.; Fisher, I. R.; Kirchmann, P. S.; Shen, Z-X								Ultrafast Optical Excitation of a Persistent Surface-State Population in the Topological Insulator Bi2Se3								PHYSICAL REVIEW LETTERS				108	11					117403	10.1103/PhysRevLett.108.117403			MAR 14 2012	2012										185							WOS:000301478400014		
J	Hanaguri, T.; Igarashi, K.; Kawamura, M.; Takagi, H.; Sasagawa, T.								Momentum-resolved Landau-level spectroscopy of Dirac surface state in Bi2Se3								PHYSICAL REVIEW B				82	8					081305	10.1103/PhysRevB.82.081305			AUG 9 2010	2010										184							WOS:000280758900001		
J	Rullier-Albenque, F.; Colson, D.; Forget, A.; Alloul, H.								Hall Effect and Resistivity Study of the Magnetic Transition, Carrier Content, and Fermi-Liquid Behavior in Ba(Fe1-xCox)(2)As-2								PHYSICAL REVIEW LETTERS				103	5					057001	10.1103/PhysRevLett.103.057001			JUL 31 2009	2009										184							WOS:000268618300059		
J	Yin, Z. P.; Haule, K.; Kotliar, G.								Magnetism and charge dynamics in iron pnictides								NATURE PHYSICS				7	4			294	297		10.1038/NPHYS1923			APR 2011	2011										181							WOS:000289076000012		
J	Kim, D. J.; Thomas, S.; Grant, T.; Botimer, J.; Fisk, Z.; Xia, Jing								Surface Hall Effect and Nonlocal Transport in SmB6: Evidence for Surface Conduction								SCIENTIFIC REPORTS				3						3150	10.1038/srep03150			NOV 6 2013	2013										180							WOS:000326578200006		
J	Richard, P.; Nakayama, K.; Sato, T.; Neupane, M.; Xu, Y. -M.; Bowen, J. H.; Chen, G. F.; Luo, J. L.; Wang, N. L.; Dai, X.; Fang, Z.; Ding, H.; Takahashi, T.								Observation of Dirac Cone Electronic Dispersion in BaFe2As2								PHYSICAL REVIEW LETTERS				104	13					137001	10.1103/PhysRevLett.104.137001			APR 2 2010	2010										178							WOS:000276260800039		
J	Yan, Binghai; Felser, Claudia								Topological Materials: Weyl Semimetals								Annual Review of Condensed Matter Physics				8				337	354		10.1146/annurev-conmatphys-031016-025458			2017	2017										176							WOS:000398567000016		
J	Monceau, Pierre								Electronic crystals: an experimental overview								ADVANCES IN PHYSICS				61	4			325	581		10.1080/00018732.2012.719674			2012	2012										176							WOS:000308870700001		
J	Ren, Zhi; Taskin, A. A.; Sasaki, Satoshi; Segawa, Kouji; Ando, Yoichi								Optimizing Bi2-xSbxTe3-ySey solid solutions to approach the intrinsic topological insulator regime								PHYSICAL REVIEW B				84	16					165311	10.1103/PhysRevB.84.165311			OCT 6 2011	2011										175							WOS:000299001900003		
J	Kim, Yong Seung; Brahlek, Matthew; Bansal, Namrata; Edrey, Eliav; Kapilevich, Gary A.; Iida, Keiko; Tanimura, Makoto; Horibe, Yoichi; Cheong, Sang-Wook; Oh, Seongshik								Thickness-dependent bulk properties and weak antilocalization effect in topological insulator Bi2Se3								PHYSICAL REVIEW B				84	7					073109	10.1103/PhysRevB.84.073109			AUG 26 2011	2011										174							WOS:000294325200002		
J	Rau, Jeffrey G.; Lee, Eric Kin-Ho; Kee, Hae-Young								Spin-Orbit Physics Giving Rise to Novel Phases in Correlated Systems: Iridates and Related Materials								Annual Review of Condensed Matter Physics				7				195	221		10.1146/annurev-conmatphys-031115-011319			2016	2016										171							WOS:000372188500009		
J	Benia, Hadj M.; Lin, Chengtian; Kern, Klaus; Ast, Christian R.								Reactive Chemical Doping of the Bi2Se3 Topological Insulator								PHYSICAL REVIEW LETTERS				107	17					177602	10.1103/PhysRevLett.107.177602			OCT 19 2011	2011										171							WOS:000296984100020		
J	Tang, Hao; Liang, Dong; Qiu, Richard L. J.; Gao, Xuan P. A.								Two-Dimensional Transport--Induced Linear Magneto-Resistance in Topological Insulator Bi2Se3 Nanoribbons								ACS NANO				5	9			7510	7516		10.1021/nn2024607			SEP 2011	2011										171							WOS:000295187400085		
J	Liu, Minhao; Chang, Cui-Zu; Zhang, Zuocheng; Zhang, Yi; Ruan, Wei; He, Ke; Wang, Li-li; Chen, Xi; Jia, Jin-Feng; Zhang, Shou-Cheng; Xue, Qi-Kun; Ma, Xucun; Wang, Yayu								Electron interaction-driven insulating ground state in Bi2Se3 topological insulators in the two-dimensional limit								PHYSICAL REVIEW B				83	16					165440	10.1103/PhysRevB.83.165440			APR 26 2011	2011										170							WOS:000290115400003		
J	Xu, Yang; Miotkowski, Ireneusz; Liu, Chang; Tian, Jifa; Nam, Hyoungdo; Alidoust, Nasser; Hu, Jiuning; Shih, Chih-Kang; Hasan, M. Zahid; Chen, Yong P.								Observation of topological surface state quantum Hall effect in an intrinsic three-dimensional topological insulator								NATURE PHYSICS				10	12			956	963		10.1038/NPHYS3140			DEC 2014	2014										169							WOS:000345755100019		
J	Hashimoto, K.; Cho, K.; Shibauchi, T.; Kasahara, S.; Mizukami, Y.; Katsumata, R.; Tsuruhara, Y.; Terashima, T.; Ikeda, H.; Tanatar, M. A.; Kitano, H.; Salovich, N.; Giannetta, R. W.; Walmsley, P.; Carrington, A.; Prozorov, R.; Matsuda, Y.								A Sharp Peak of the Zero-Temperature Penetration Depth at Optimal Composition in BaFe2(As1-xPx)(2)								SCIENCE				336	6088			1554	1557		10.1126/science.1219821			JUN 22 2012	2012										168							WOS:000305507500050		
J	Fang, Lei; Luo, Huiqian; Cheng, Peng; Wang, Zhaosheng; Jia, Ying; Mu, Gang; Shen, Bing; Mazin, I. I.; Shan, Lei; Ren, Cong; Wen, Hai-Hu								Roles of multiband effects and electron-hole asymmetry in the superconductivity and normal-state properties of Ba(Fe(1-x)Cox)(2)As-2								PHYSICAL REVIEW B				80	14					140508	10.1103/PhysRevB.80.140508			OCT 2009	2009										168							WOS:000271351500028		
J	Mullen, Kieran; Uchoa, Bruno; Glatzhofer, Daniel T.								Line of Dirac Nodes in Hyperhoneycomb Lattices								PHYSICAL REVIEW LETTERS				115	2					026403	10.1103/PhysRevLett.115.026403			JUL 9 2015	2015										167							WOS:000357646000005		
J	Chen, C. -C.; Maciejko, J.; Sorini, A. P.; Moritz, B.; Singh, R. R. P.; Devereaux, T. P.								Orbital order and spontaneous orthorhombicity in iron pnictides								PHYSICAL REVIEW B				82	10					100504	10.1103/PhysRevB.82.100504			SEP 15 2010	2010										165							WOS:000281845400002		
J	Hosono, Hideo; Kuroki, Kazuhiko								Iron-based superconductors: Current status of materials and pairing mechanism								PHYSICA C-SUPERCONDUCTIVITY AND ITS APPLICATIONS				514				399	422		10.1016/j.physc.2015.02.020			JUL 15 2015	2015										163							WOS:000354568600033		
J	Shishido, H.; Bangura, A. F.; Coldea, A. I.; Tonegawa, S.; Hashimoto, K.; Kasahara, S.; Rourke, P. M. C.; Ikeda, H.; Terashima, T.; Settai, R.; Onuki, Y.; Vignolles, D.; Proust, C.; Vignolle, B.; McCollam, A.; Matsuda, Y.; Shibauchi, T.; Carrington, A.								Evolution of the Fermi Surface of BaFe2(As1-xPx)(2) on Entering the Superconducting Dome								PHYSICAL REVIEW LETTERS				104	5					057008	10.1103/PhysRevLett.104.057008			FEB 5 2010	2010										163							WOS:000274336800044		
J	Hashimoto, K.; Serafin, A.; Tonegawa, S.; Katsumata, R.; Okazaki, R.; Saito, T.; Fukazawa, H.; Kohori, Y.; Kihou, K.; Lee, C. H.; Iyo, A.; Eisaki, H.; Ikeda, H.; Matsuda, Y.; Carrington, A.; Shibauchi, T.								Evidence for superconducting gap nodes in the zone-centered hole bands of KFe2As2 from magnetic penetration-depth measurements								PHYSICAL REVIEW B				82	1					014526	10.1103/PhysRevB.82.014526			JUL 19 2010	2010										162							WOS:000280066200003		
J	Taillefer, Louis								Scattering and Pairing in Cuprate Superconductors								Annual Review of Condensed Matter Physics				1				51	70		10.1146/annurev-conmatphys-070909-104117			2010	2010										161							WOS:000281964000003		
J	Wei, Peng; Katmis, Ferhat; Assaf, Badih A.; Steinberg, Hadar; Jarillo-Herrero, Pablo; Heiman, Donald; Moodera, Jagadeesh S.								Exchange-Coupling-Induced Symmetry Breaking in Topological Insulators								PHYSICAL REVIEW LETTERS				110	18					186807	10.1103/PhysRevLett.110.186807			APR 30 2013	2013										160							WOS:000319015600011		
J	Fernandes, Rafael M.; Schmalian, Joerg								Competing order and nature of the pairing state in the iron pnictides								PHYSICAL REVIEW B				82	1					014521	10.1103/PhysRevB.82.014521			JUL 16 2010	2010										160							WOS:000279992600013		
